Messstelle:                ;Puig
HZB-Nummer:                ;201574
HD-Nummer:                 ;
DBMS-Nummer:               ;7001054
Gewässer:                  ;Sill
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;341,8
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.06.1947              ;1005,75
   01.01.1977              ;1005,76
   07.12.2001              ;1004,97
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
  gültig seit:             ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
   01.01.1947              ;11 27 15                 ;47 06 44
   07.12.2001              ;11 27 10                 ;47 06 49
Exportzeitreihe:           ;(7001054,Abfluss,I,Mit,T,1,F,Z,0,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1951 00:00,01.01.2018 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.01.1951 00:00:00;  3,20
02.01.1951 00:00:00;  3,00
03.01.1951 00:00:00;  3,40
04.01.1951 00:00:00;  4,29
05.01.1951 00:00:00;  3,83
06.01.1951 00:00:00;  3,60
07.01.1951 00:00:00;  3,40
08.01.1951 00:00:00;  3,40
09.01.1951 00:00:00;  3,40
10.01.1951 00:00:00;  3,40
11.01.1951 00:00:00;  3,40
12.01.1951 00:00:00;  3,40
13.01.1951 00:00:00;  3,60
14.01.1951 00:00:00;  3,60
15.01.1951 00:00:00;  3,60
16.01.1951 00:00:00;  3,40
17.01.1951 00:00:00;  3,20
18.01.1951 00:00:00;  3,20
19.01.1951 00:00:00;  2,80
20.01.1951 00:00:00;  2,80
21.01.1951 00:00:00;  3,00
22.01.1951 00:00:00;  3,00
23.01.1951 00:00:00;  3,00
24.01.1951 00:00:00;  2,80
25.01.1951 00:00:00;  3,00
26.01.1951 00:00:00;  3,20
27.01.1951 00:00:00;  3,00
28.01.1951 00:00:00;  2,80
29.01.1951 00:00:00;  2,80
30.01.1951 00:00:00;  2,80
31.01.1951 00:00:00;  2,80
01.02.1951 00:00:00;  2,80
02.02.1951 00:00:00;  2,80
03.02.1951 00:00:00;  2,80
04.02.1951 00:00:00;  3,00
05.02.1951 00:00:00;  3,00
06.02.1951 00:00:00;  3,00
07.02.1951 00:00:00;  3,00
08.02.1951 00:00:00;  3,00
09.02.1951 00:00:00;  3,00
10.02.1951 00:00:00;  3,00
