Messstelle:                ;Innsbruck-Reichenau
HZB-Nummer:                ;201624
HD-Nummer:                 ;
DBMS-Nummer:               ;7001057
Gewässer:                  ;Sill
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;854,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1904              ;567,52
   11.02.1972              ;566,52
   15.03.1974              ;569,77
   01.01.1976              ;569,35
   01.01.1977              ;569,32
   14.06.2007              ;567,39
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
  gültig seit:             ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
   01.01.1904              ;11 24 50                 ;47 16 31
   01.01.1976              ;11 24 42                 ;47 16 24
   14.06.2007              ;11 24 43                 ;47 16 24
Exportzeitreihe:           ;(7001057,Abfluss,I,Mit,T,1,F,Z,0,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1951 00:00,01.01.2018 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.01.1951 00:00:00;  9,00
02.01.1951 00:00:00;  9,00
03.01.1951 00:00:00;  9,00
04.01.1951 00:00:00;  9,27
05.01.1951 00:00:00;  8,73
06.01.1951 00:00:00;  8,46
07.01.1951 00:00:00;  8,19
08.01.1951 00:00:00;  8,19
09.01.1951 00:00:00;  8,19
10.01.1951 00:00:00;  8,19
11.01.1951 00:00:00;  8,19
12.01.1951 00:00:00;  8,19
13.01.1951 00:00:00;  8,46
14.01.1951 00:00:00;  8,46
15.01.1951 00:00:00;  8,46
16.01.1951 00:00:00;  8,19
17.01.1951 00:00:00;  7,92
18.01.1951 00:00:00;  7,92
19.01.1951 00:00:00;  7,40
20.01.1951 00:00:00;  7,40
21.01.1951 00:00:00;  7,66
22.01.1951 00:00:00;  7,66
23.01.1951 00:00:00;  7,66
24.01.1951 00:00:00;  7,40
25.01.1951 00:00:00;  7,66
26.01.1951 00:00:00;  7,92
27.01.1951 00:00:00;  7,66
28.01.1951 00:00:00;  7,40
29.01.1951 00:00:00;  7,40
30.01.1951 00:00:00;  7,40
31.01.1951 00:00:00;  7,40
01.02.1951 00:00:00;  7,40
02.02.1951 00:00:00;  7,40
03.02.1951 00:00:00;  7,40
04.02.1951 00:00:00;  7,66
05.02.1951 00:00:00;  7,66
06.02.1951 00:00:00;  7,66
07.02.1951 00:00:00;  7,66
08.02.1951 00:00:00;  7,66
09.02.1951 00:00:00;  7,66
10.02.1951 00:00:00;  8,73
11.02.1951 00:00:00;  10,7
12.02.1951 00:00:00;  11,4
13.02.1951 00:00:00;  10,1
14.02.1951 00:00:00;  10,4
15.02.1951 00:00:00;  9,27
16.02.1951 00:00:00;  9,00
17.02.1951 00:00:00;  8,73
18.02.1951 00:00:00;  8,46
19.02.1951 00:00:00;  8,46
20.02.1951 00:00:00;  8,46
21.02.1951 00:00:00;  8,73
22.02.1951 00:00:00;  7,66
23.02.1951 00:00:00;  7,66
24.02.1951 00:00:00;  8,19
25.02.1951 00:00:00;  7,92
26.02.1951 00:00:00;  8,19
27.02.1951 00:00:00;  7,92
28.02.1951 00:00:00;  7,92
01.03.1951 00:00:00;  7,66
02.03.1951 00:00:00;  7,40
03.03.1951 00:00:00;  6,90
04.03.1951 00:00:00;  7,40
05.03.1951 00:00:00;  7,66
06.03.1951 00:00:00;  7,66
07.03.1951 00:00:00;  7,66
08.03.1951 00:00:00;  7,66
09.03.1951 00:00:00;  8,19
10.03.1951 00:00:00;  7,92
11.03.1951 00:00:00;  7,92
12.03.1951 00:00:00;  7,92
13.03.1951 00:00:00;  7,92
14.03.1951 00:00:00;  11,4
15.03.1951 00:00:00;  8,73
16.03.1951 00:00:00;  8,46
17.03.1951 00:00:00;  8,73
18.03.1951 00:00:00;  10,4
19.03.1951 00:00:00;  11,4
20.03.1951 00:00:00;  13,3
21.03.1951 00:00:00;  11,7
22.03.1951 00:00:00;  10,1
23.03.1951 00:00:00;  10,7
24.03.1951 00:00:00;  11,7
25.03.1951 00:00:00;  10,1
26.03.1951 00:00:00;  10,1
27.03.1951 00:00:00;  10,1
28.03.1951 00:00:00;  10,1
29.03.1951 00:00:00;  9,54
30.03.1951 00:00:00;  9,27
31.03.1951 00:00:00;  9,82
01.04.1951 00:00:00;  9,54
02.04.1951 00:00:00;  9,27
03.04.1951 00:00:00;  10,1
04.04.1951 00:00:00;  10,1
05.04.1951 00:00:00;  10,1
06.04.1951 00:00:00;  10,1
07.04.1951 00:00:00;  10,7
08.04.1951 00:00:00;  13,3
09.04.1951 00:00:00;  11,7
10.04.1951 00:00:00;  12,0
11.04.1951 00:00:00;  11,4
12.04.1951 00:00:00;  10,7
13.04.1951 00:00:00;  10,7
14.04.1951 00:00:00;  11,4
15.04.1951 00:00:00;  10,4
16.04.1951 00:00:00;  10,7
17.04.1951 00:00:00;  11,7
18.04.1951 00:00:00;  11,7
19.04.1951 00:00:00;  13,7
20.04.1951 00:00:00;  17,5
21.04.1951 00:00:00;  24,4
22.04.1951 00:00:00;  27,2
23.04.1951 00:00:00;  24,4
24.04.1951 00:00:00;  30,5
25.04.1951 00:00:00;  25,0
26.04.1951 00:00:00;  30,5
27.04.1951 00:00:00;  30,5
28.04.1951 00:00:00;  30,5
29.04.1951 00:00:00;  30,5
30.04.1951 00:00:00;  27,2
01.05.1951 00:00:00;  24,4
02.05.1951 00:00:00;  22,7
03.05.1951 00:00:00;  27,2
04.05.1951 00:00:00;  29,8
05.05.1951 00:00:00;  30,5
06.05.1951 00:00:00;  33,8
07.05.1951 00:00:00;  33,8
08.05.1951 00:00:00;  31,8
09.05.1951 00:00:00;  37,6
10.05.1951 00:00:00;  37,6
11.05.1951 00:00:00;  33,8
12.05.1951 00:00:00;  30,5
13.05.1951 00:00:00;  30,5
14.05.1951 00:00:00;  33,8
15.05.1951 00:00:00;  31,2
16.05.1951 00:00:00;  28,5
17.05.1951 00:00:00;  27,2
18.05.1951 00:00:00;  27,2
19.05.1951 00:00:00;  30,5
20.05.1951 00:00:00;  30,5
21.05.1951 00:00:00;  33,8
22.05.1951 00:00:00;  37,6
23.05.1951 00:00:00;  37,6
24.05.1951 00:00:00;  45,8
25.05.1951 00:00:00;  60,4
26.05.1951 00:00:00;  83,2
27.05.1951 00:00:00;  96,0
28.05.1951 00:00:00;   133
29.05.1951 00:00:00;  96,0
30.05.1951 00:00:00;  83,2
31.05.1951 00:00:00;  71,6
01.06.1951 00:00:00;  77,4
02.06.1951 00:00:00;  77,4
03.06.1951 00:00:00;  71,6
04.06.1951 00:00:00;  60,4
05.06.1951 00:00:00;  60,4
06.06.1951 00:00:00;  60,4
07.06.1951 00:00:00;  55,3
08.06.1951 00:00:00;  58,4
09.06.1951 00:00:00;  66,0
10.06.1951 00:00:00;  58,4
11.06.1951 00:00:00;  55,3
12.06.1951 00:00:00;  60,4
13.06.1951 00:00:00;  66,0
14.06.1951 00:00:00;  66,0
15.06.1951 00:00:00;  77,4
16.06.1951 00:00:00;  83,2
17.06.1951 00:00:00;  98,8
