Messstelle:                ;Rabland
HZB-Nummer:                ;212027
HD-Nummer:                 ;
DBMS-Nummer:               ;7001127
Gewässer:                  ;Drau
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;374
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1890              ;1056,90
   01.01.1928              ;1066,04
   01.01.1981              ;1065,04
   01.01.1986              ;1064,56
   20.05.1988              ;1070,98
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
  gültig seit:             ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
   20.05.1988              ;12 26 50                 ;46 44 49
Exportzeitreihe:           ;(7001127,Abfluss,I,Mit,T,1,F,Z,0,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1951 00:00,01.01.2018 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.01.1951 00:00:00;  5,94
02.01.1951 00:00:00;  5,94
03.01.1951 00:00:00;  5,94
04.01.1951 00:00:00;  6,10
05.01.1951 00:00:00;  6,10
06.01.1951 00:00:00;  6,10
07.01.1951 00:00:00;  6,10
08.01.1951 00:00:00;  5,94
09.01.1951 00:00:00;  5,94
10.01.1951 00:00:00;  5,94
11.01.1951 00:00:00;  5,94
12.01.1951 00:00:00;  5,94
13.01.1951 00:00:00;  5,94
14.01.1951 00:00:00;  5,94
15.01.1951 00:00:00;  5,94
16.01.1951 00:00:00;  5,94
17.01.1951 00:00:00;  5,94
18.01.1951 00:00:00;  5,78
19.01.1951 00:00:00;  5,78
20.01.1951 00:00:00;  5,78
21.01.1951 00:00:00;  5,78
22.01.1951 00:00:00;  5,78
23.01.1951 00:00:00;  5,78
24.01.1951 00:00:00;  5,78
25.01.1951 00:00:00;  5,78
26.01.1951 00:00:00;  5,94
27.01.1951 00:00:00;  5,94
28.01.1951 00:00:00;  6,10
29.01.1951 00:00:00;  6,10
30.01.1951 00:00:00;  6,10
31.01.1951 00:00:00;  6,10
01.02.1951 00:00:00;  6,10
02.02.1951 00:00:00;  6,10
03.02.1951 00:00:00;  5,94
04.02.1951 00:00:00;  5,94
05.02.1951 00:00:00;  5,94
06.02.1951 00:00:00;  5,94
07.02.1951 00:00:00;  5,94
08.02.1951 00:00:00;  5,94
09.02.1951 00:00:00;  5,94
10.02.1951 00:00:00;  5,94
11.02.1951 00:00:00;  5,94
12.02.1951 00:00:00;  5,94
13.02.1951 00:00:00;  6,28
14.02.1951 00:00:00;  6,10
15.02.1951 00:00:00;  6,10
16.02.1951 00:00:00;  5,94
17.02.1951 00:00:00;  5,78
18.02.1951 00:00:00;  5,78
19.02.1951 00:00:00;  5,78
20.02.1951 00:00:00;  5,78
21.02.1951 00:00:00;  5,78
22.02.1951 00:00:00;  5,78
23.02.1951 00:00:00;  5,78
24.02.1951 00:00:00;  5,78
25.02.1951 00:00:00;  5,78
26.02.1951 00:00:00;  5,62
27.02.1951 00:00:00;  5,62
28.02.1951 00:00:00;  5,62
01.03.1951 00:00:00;  5,62
02.03.1951 00:00:00;  5,62
03.03.1951 00:00:00;  5,62
04.03.1951 00:00:00;  5,62
05.03.1951 00:00:00;  5,62
06.03.1951 00:00:00;  5,62
07.03.1951 00:00:00;  5,62
08.03.1951 00:00:00;  5,62
09.03.1951 00:00:00;  6,10
10.03.1951 00:00:00;  6,10
11.03.1951 00:00:00;  6,10
12.03.1951 00:00:00;  6,28
13.03.1951 00:00:00;  6,28
14.03.1951 00:00:00;  6,64
15.03.1951 00:00:00;  6,64
16.03.1951 00:00:00;  6,64
17.03.1951 00:00:00;  6,64
18.03.1951 00:00:00;  6,82
19.03.1951 00:00:00;  6,82
20.03.1951 00:00:00;  6,64
21.03.1951 00:00:00;  6,64
22.03.1951 00:00:00;  6,64
23.03.1951 00:00:00;  6,64
24.03.1951 00:00:00;  6,64
25.03.1951 00:00:00;  6,46
26.03.1951 00:00:00;  6,10
27.03.1951 00:00:00;  6,10
28.03.1951 00:00:00;  6,10
29.03.1951 00:00:00;  6,10
30.03.1951 00:00:00;  6,10
31.03.1951 00:00:00;  6,28
01.04.1951 00:00:00;  6,46
02.04.1951 00:00:00;  6,46
03.04.1951 00:00:00;  6,46
04.04.1951 00:00:00;  6,46
05.04.1951 00:00:00;  6,46
06.04.1951 00:00:00;  6,46
07.04.1951 00:00:00;  6,46
08.04.1951 00:00:00;  6,46
09.04.1951 00:00:00;  6,82
10.04.1951 00:00:00;  6,82
11.04.1951 00:00:00;  6,64
12.04.1951 00:00:00;  6,64
13.04.1951 00:00:00;  7,36
14.04.1951 00:00:00;  7,90
15.04.1951 00:00:00;  7,90
16.04.1951 00:00:00;  8,30
17.04.1951 00:00:00;  8,90
18.04.1951 00:00:00;  11,1
19.04.1951 00:00:00;  14,6
20.04.1951 00:00:00;  18,0
21.04.1951 00:00:00;  21,6
22.04.1951 00:00:00;  21,6
