Messstelle:                ;Ausservillgraten
HZB-Nummer:                ;212225
HD-Nummer:                 ;
DBMS-Nummer:               ;7001146
Gewässer:                  ;Winkeltalbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;62,2
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1991              ;1256,55
   28.04.2010              ;1256,56
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
  gültig seit:             ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
   01.01.1991              ;12 25 52                 ;46 47 14
Exportzeitreihe:           ;(7001146,Abfluss,I,Mit,T,1,F,Z,0,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1991 00:15,01.01.2018 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.01.1991 00:15:00; 0,559
02.01.1991 00:00:00; 0,542
03.01.1991 00:00:00; 0,557
04.01.1991 00:00:00; 0,546
05.01.1991 00:00:00; 0,541
06.01.1991 00:00:00; 0,518
07.01.1991 00:00:00; 0,525
08.01.1991 00:00:00; 0,521
09.01.1991 00:00:00; 0,509
10.01.1991 00:00:00; 0,508
11.01.1991 00:00:00; 0,512
12.01.1991 00:00:00; 0,512
13.01.1991 00:00:00; 0,514
14.01.1991 00:00:00; 0,507
15.01.1991 00:00:00; 0,498
16.01.1991 00:00:00; 0,474
17.01.1991 00:00:00; 0,464
18.01.1991 00:00:00; 0,482
19.01.1991 00:00:00; 0,474
20.01.1991 00:00:00; 0,469
21.01.1991 00:00:00; 0,469
22.01.1991 00:00:00; 0,462
23.01.1991 00:00:00; 0,461
24.01.1991 00:00:00; 0,462
25.01.1991 00:00:00; 0,455
26.01.1991 00:00:00; 0,454
27.01.1991 00:00:00; 0,454
28.01.1991 00:00:00; 0,436
29.01.1991 00:00:00; 0,436
30.01.1991 00:00:00; 0,436
31.01.1991 00:00:00; 0,436
01.02.1991 00:00:00; 0,425
02.02.1991 00:00:00; 0,414
03.02.1991 00:00:00; 0,414
04.02.1991 00:00:00; 0,416
05.02.1991 00:00:00; 0,416
06.02.1991 00:00:00; 0,416
07.02.1991 00:00:00; 0,411
08.02.1991 00:00:00; 0,411
09.02.1991 00:00:00; 0,406
10.02.1991 00:00:00; 0,421
11.02.1991 00:00:00; 0,419
12.02.1991 00:00:00; 0,413
13.02.1991 00:00:00; 0,381
14.02.1991 00:00:00; 0,381
15.02.1991 00:00:00; 0,381
16.02.1991 00:00:00; 0,400
17.02.1991 00:00:00; 0,391
18.02.1991 00:00:00; 0,394
19.02.1991 00:00:00; 0,395
20.02.1991 00:00:00; 0,400
21.02.1991 00:00:00; 0,397
22.02.1991 00:00:00; 0,395
23.02.1991 00:00:00; 0,393
24.02.1991 00:00:00; 0,415
25.02.1991 00:00:00; 0,422
26.02.1991 00:00:00; 0,435
27.02.1991 00:00:00; 0,443
28.02.1991 00:00:00; 0,444
01.03.1991 00:00:00; 0,447
02.03.1991 00:00:00; 0,451
03.03.1991 00:00:00; 0,453
04.03.1991 00:00:00; 0,469
05.03.1991 00:00:00; 0,480
06.03.1991 00:00:00; 0,488
07.03.1991 00:00:00; 0,508
08.03.1991 00:00:00; 0,532
09.03.1991 00:00:00; 0,553
10.03.1991 00:00:00; 0,553
11.03.1991 00:00:00; 0,562
12.03.1991 00:00:00; 0,577
13.03.1991 00:00:00; 0,591
14.03.1991 00:00:00; 0,624
15.03.1991 00:00:00; 0,666
16.03.1991 00:00:00; 0,714
17.03.1991 00:00:00; 0,759
18.03.1991 00:00:00; 0,797
19.03.1991 00:00:00; 0,819
20.03.1991 00:00:00; 0,852
21.03.1991 00:00:00; 0,895
22.03.1991 00:00:00; 0,940
23.03.1991 00:00:00; 0,941
24.03.1991 00:00:00; 0,969
25.03.1991 00:00:00;  1,05
26.03.1991 00:00:00;  1,14
27.03.1991 00:00:00;  1,09
28.03.1991 00:00:00; 0,988
29.03.1991 00:00:00; 0,855
30.03.1991 00:00:00; 0,855
31.03.1991 00:00:00; 0,816
01.04.1991 00:00:00; 0,807
02.04.1991 00:00:00; 0,819
03.04.1991 00:00:00; 0,878
04.04.1991 00:00:00; 0,927
05.04.1991 00:00:00; 0,903
06.04.1991 00:00:00; 0,886
07.04.1991 00:00:00; 0,893
08.04.1991 00:00:00; 0,893
09.04.1991 00:00:00; 0,926
10.04.1991 00:00:00; 0,979
11.04.1991 00:00:00;  1,01
12.04.1991 00:00:00;  1,02
13.04.1991 00:00:00;  1,00
14.04.1991 00:00:00; 0,975
15.04.1991 00:00:00; 0,972
16.04.1991 00:00:00;  1,05
17.04.1991 00:00:00;  1,09
18.04.1991 00:00:00; 0,994
19.04.1991 00:00:00; 0,949
20.04.1991 00:00:00; 0,907
21.04.1991 00:00:00; 0,886
22.04.1991 00:00:00; 0,856
23.04.1991 00:00:00; 0,817
24.04.1991 00:00:00; 0,767
25.04.1991 00:00:00; 0,741
26.04.1991 00:00:00; 0,738
27.04.1991 00:00:00; 0,756
28.04.1991 00:00:00; 0,759
29.04.1991 00:00:00; 0,773
30.04.1991 00:00:00; 0,761
01.05.1991 00:00:00; 0,740
02.05.1991 00:00:00; 0,758
03.05.1991 00:00:00; 0,791
04.05.1991 00:00:00; 0,768
05.05.1991 00:00:00; 0,767
06.05.1991 00:00:00; 0,773
07.05.1991 00:00:00; 0,740
08.05.1991 00:00:00; 0,731
09.05.1991 00:00:00; 0,757
10.05.1991 00:00:00; 0,818
11.05.1991 00:00:00; 0,866
12.05.1991 00:00:00; 0,991
13.05.1991 00:00:00;  1,01
14.05.1991 00:00:00;  1,05
15.05.1991 00:00:00;  1,08
16.05.1991 00:00:00;  1,04
17.05.1991 00:00:00; 0,964
18.05.1991 00:00:00; 0,977
19.05.1991 00:00:00; 0,966
20.05.1991 00:00:00; 0,985
21.05.1991 00:00:00;  1,05
22.05.1991 00:00:00;  1,18
23.05.1991 00:00:00;  1,47
24.05.1991 00:00:00;  1,62
25.05.1991 00:00:00;  1,53
26.05.1991 00:00:00;  1,50
27.05.1991 00:00:00;  1,51
28.05.1991 00:00:00;  1,49
29.05.1991 00:00:00;  1,57
30.05.1991 00:00:00;  1,69
31.05.1991 00:00:00;  1,89
01.06.1991 00:00:00;  2,12
02.06.1991 00:00:00;  2,37
03.06.1991 00:00:00;  2,65
04.06.1991 00:00:00;  2,88
05.06.1991 00:00:00;  2,61
06.06.1991 00:00:00;  2,43
07.06.1991 00:00:00;  2,32
08.06.1991 00:00:00;  2,35
09.06.1991 00:00:00;  2,42
10.06.1991 00:00:00;  2,88
11.06.1991 00:00:00;  3,77
12.06.1991 00:00:00;  3,98
13.06.1991 00:00:00;  4,37
14.06.1991 00:00:00;  4,76
15.06.1991 00:00:00;  5,19
16.06.1991 00:00:00;  5,22
17.06.1991 00:00:00;  8,24
18.06.1991 00:00:00;  8,85
19.06.1991 00:00:00;  6,51
20.06.1991 00:00:00;  5,56
21.06.1991 00:00:00;  4,92
22.06.1991 00:00:00;  4,83
23.06.1991 00:00:00;  5,31
24.06.1991 00:00:00;  7,27
25.06.1991 00:00:00;  7,86
26.06.1991 00:00:00;  8,93
27.06.1991 00:00:00;  8,78
28.06.1991 00:00:00;  7,84
29.06.1991 00:00:00;  6,34
30.06.1991 00:00:00;  5,35
01.07.1991 00:00:00;  5,04
02.07.1991 00:00:00;  5,14
03.07.1991 00:00:00;  5,24
04.07.1991 00:00:00;  5,16
05.07.1991 00:00:00;  5,11
06.07.1991 00:00:00;  5,50
07.07.1991 00:00:00;  5,26
08.07.1991 00:00:00;  5,61
09.07.1991 00:00:00;  5,04
10.07.1991 00:00:00;  4,40
11.07.1991 00:00:00;  4,07
12.07.1991 00:00:00;  4,00
13.07.1991 00:00:00;  5,18
14.07.1991 00:00:00;  5,89
15.07.1991 00:00:00;  4,98
16.07.1991 00:00:00;  4,60
17.07.1991 00:00:00;  5,65
18.07.1991 00:00:00;  4,82
19.07.1991 00:00:00;  4,57
20.07.1991 00:00:00;  4,41
21.07.1991 00:00:00;  4,20
22.07.1991 00:00:00;  3,95
23.07.1991 00:00:00;  3,72
24.07.1991 00:00:00;  4,29
25.07.1991 00:00:00;  5,81
26.07.1991 00:00:00;  5,38
27.07.1991 00:00:00;  4,65
28.07.1991 00:00:00;  4,41
29.07.1991 00:00:00;  4,18
30.07.1991 00:00:00;  4,04
31.07.1991 00:00:00;  3,80
01.08.1991 00:00:00;  4,63
02.08.1991 00:00:00;  3,94
03.08.1991 00:00:00;  3,81
04.08.1991 00:00:00;  3,60
05.08.1991 00:00:00;  3,50
06.08.1991 00:00:00;  3,52
07.08.1991 00:00:00;  3,44
08.08.1991 00:00:00;  3,25
09.08.1991 00:00:00;  3,09
10.08.1991 00:00:00;  3,04
11.08.1991 00:00:00;  3,20
12.08.1991 00:00:00;  3,35
13.08.1991 00:00:00;  2,93
14.08.1991 00:00:00;  2,65
15.08.1991 00:00:00;  2,54
16.08.1991 00:00:00;  2,30
17.08.1991 00:00:00;  2,15
18.08.1991 00:00:00;  2,09
19.08.1991 00:00:00;  1,99
20.08.1991 00:00:00;  1,85
21.08.1991 00:00:00;  1,76
22.08.1991 00:00:00;  1,75
23.08.1991 00:00:00;  1,69
24.08.1991 00:00:00;  1,71
25.08.1991 00:00:00;  1,67
26.08.1991 00:00:00;  1,56
27.08.1991 00:00:00;  1,49
28.08.1991 00:00:00;  1,46
29.08.1991 00:00:00;  1,43
30.08.1991 00:00:00;  1,39
31.08.1991 00:00:00;  1,32
01.09.1991 00:00:00;  1,29
02.09.1991 00:00:00;  1,24
03.09.1991 00:00:00;  1,21
04.09.1991 00:00:00;  1,20
05.09.1991 00:00:00;  1,16
06.09.1991 00:00:00;  1,13
07.09.1991 00:00:00;  1,11
08.09.1991 00:00:00;  1,09
09.09.1991 00:00:00;  1,07
10.09.1991 00:00:00;  1,00
11.09.1991 00:00:00; 0,974
12.09.1991 00:00:00;  1,01
13.09.1991 00:00:00;  1,05
14.09.1991 00:00:00; 0,985
15.09.1991 00:00:00; 0,982
16.09.1991 00:00:00; 0,929
17.09.1991 00:00:00; 0,887
18.09.1991 00:00:00; 0,862
19.09.1991 00:00:00; 0,834
20.09.1991 00:00:00; 0,852
21.09.1991 00:00:00; 0,836
22.09.1991 00:00:00; 0,808
23.09.1991 00:00:00; 0,861
24.09.1991 00:00:00; 0,797
25.09.1991 00:00:00; 0,769
26.09.1991 00:00:00; 0,765
27.09.1991 00:00:00; 0,790
28.09.1991 00:00:00; 0,854
29.09.1991 00:00:00; 0,809
30.09.1991 00:00:00;  1,20
01.10.1991 00:00:00;  1,26
02.10.1991 00:00:00;  1,10
03.10.1991 00:00:00; 0,984
04.10.1991 00:00:00; 0,955
05.10.1991 00:00:00; 0,914
06.10.1991 00:00:00; 0,894
07.10.1991 00:00:00; 0,883
08.10.1991 00:00:00; 0,904
09.10.1991 00:00:00; 0,893
10.10.1991 00:00:00; 0,868
11.10.1991 00:00:00; 0,840
12.10.1991 00:00:00;  1,21
13.10.1991 00:00:00;  1,18
14.10.1991 00:00:00;  1,14
15.10.1991 00:00:00;  1,10
16.10.1991 00:00:00;  1,07
17.10.1991 00:00:00; 0,984
18.10.1991 00:00:00;  1,02
19.10.1991 00:00:00; 0,993
20.10.1991 00:00:00; 0,949
21.10.1991 00:00:00; 0,869
22.10.1991 00:00:00; 0,851
23.10.1991 00:00:00; 0,849
24.10.1991 00:00:00; 0,875
25.10.1991 00:00:00; 0,858
26.10.1991 00:00:00; 0,835
27.10.1991 00:00:00; 0,828
28.10.1991 00:00:00; 0,820
29.10.1991 00:00:00; 0,813
30.10.1991 00:00:00; 0,783
31.10.1991 00:00:00; 0,754
01.11.1991 00:00:00; 0,709
02.11.1991 00:00:00; 0,727
03.11.1991 00:00:00; 0,733
04.11.1991 00:00:00; 0,761
05.11.1991 00:00:00; 0,789
06.11.1991 00:00:00; 0,734
07.11.1991 00:00:00; 0,697
08.11.1991 00:00:00; 0,750
09.11.1991 00:00:00; 0,734
10.11.1991 00:00:00; 0,700
11.11.1991 00:00:00; 0,660
12.11.1991 00:00:00; 0,709
13.11.1991 00:00:00; 0,722
14.11.1991 00:00:00; 0,725
15.11.1991 00:00:00; 0,698
16.11.1991 00:00:00; 0,740
17.11.1991 00:00:00; 0,732
18.11.1991 00:00:00; 0,711
19.11.1991 00:00:00; 0,692
20.11.1991 00:00:00; 0,715
21.11.1991 00:00:00; 0,695
22.11.1991 00:00:00; 0,683
23.11.1991 00:00:00; 0,677
24.11.1991 00:00:00; 0,672
25.11.1991 00:00:00; 0,674
26.11.1991 00:00:00; 0,655
27.11.1991 00:00:00; 0,643
28.11.1991 00:00:00; 0,639
29.11.1991 00:00:00; 0,648
30.11.1991 00:00:00; 0,641
01.12.1991 00:00:00; 0,660
02.12.1991 00:00:00; 0,660
03.12.1991 00:00:00; 0,655
04.12.1991 00:00:00; 0,650
05.12.1991 00:00:00; 0,646
06.12.1991 00:00:00; 0,641
07.12.1991 00:00:00; 0,636
08.12.1991 00:00:00; 0,631
09.12.1991 00:00:00; 0,627
10.12.1991 00:00:00; 0,622
11.12.1991 00:00:00; 0,617
12.12.1991 00:00:00; 0,612
13.12.1991 00:00:00; 0,607
14.12.1991 00:00:00; 0,597
15.12.1991 00:00:00; 0,575
16.12.1991 00:00:00; 0,552
17.12.1991 00:00:00; 0,530
18.12.1991 00:00:00; 0,508
19.12.1991 00:00:00; 0,486
20.12.1991 00:00:00; 0,475
21.12.1991 00:00:00; 0,470
22.12.1991 00:00:00; 0,593
23.12.1991 00:00:00; 0,622
24.12.1991 00:00:00; 0,540
25.12.1991 00:00:00; 0,531
26.12.1991 00:00:00; 0,507
27.12.1991 00:00:00; 0,518
28.12.1991 00:00:00; 0,525
29.12.1991 00:00:00; 0,519
30.12.1991 00:00:00; 0,518
31.12.1991 00:00:00; 0,506
01.01.1992 00:00:00; 0,495
02.01.1992 00:00:00; 0,487
03.01.1992 00:00:00; 0,477
04.01.1992 00:00:00; 0,462
05.01.1992 00:00:00; 0,479
06.01.1992 00:00:00; 0,475
07.01.1992 00:00:00; 0,494
08.01.1992 00:00:00; 0,489
09.01.1992 00:00:00; 0,496
10.01.1992 00:00:00; 0,491
11.01.1992 00:00:00; 0,476
12.01.1992 00:00:00; 0,459
13.01.1992 00:00:00; 0,469
14.01.1992 00:00:00; 0,481
15.01.1992 00:00:00; 0,493
16.01.1992 00:00:00; 0,485
17.01.1992 00:00:00; 0,470
18.01.1992 00:00:00; 0,466
19.01.1992 00:00:00; 0,499
20.01.1992 00:00:00; 0,507
21.01.1992 00:00:00; 0,489
22.01.1992 00:00:00; 0,478
23.01.1992 00:00:00; 0,477
24.01.1992 00:00:00; 0,476
25.01.1992 00:00:00; 0,475
26.01.1992 00:00:00; 0,474
27.01.1992 00:00:00; 0,490
28.01.1992 00:00:00; 0,481
29.01.1992 00:00:00; 0,464
30.01.1992 00:00:00; 0,445
31.01.1992 00:00:00; 0,497
01.02.1992 00:00:00; 0,485
02.02.1992 00:00:00; 0,509
03.02.1992 00:00:00; 0,476
04.02.1992 00:00:00; 0,505
05.02.1992 00:00:00; 0,464
06.02.1992 00:00:00; 0,504
07.02.1992 00:00:00; 0,490
08.02.1992 00:00:00; 0,483
09.02.1992 00:00:00; 0,482
10.02.1992 00:00:00; 0,489
11.02.1992 00:00:00; 0,507
12.02.1992 00:00:00; 0,504
13.02.1992 00:00:00; 0,498
14.02.1992 00:00:00; 0,482
15.02.1992 00:00:00; 0,480
16.02.1992 00:00:00; 0,489
17.02.1992 00:00:00; 0,450
18.02.1992 00:00:00; 0,437
19.02.1992 00:00:00; 0,434
20.02.1992 00:00:00; 0,435
21.02.1992 00:00:00; 0,437
22.02.1992 00:00:00; 0,438
23.02.1992 00:00:00; 0,441
24.02.1992 00:00:00; 0,420
25.02.1992 00:00:00; 0,423
26.02.1992 00:00:00; 0,404
27.02.1992 00:00:00; 0,409
28.02.1992 00:00:00; 0,418
29.02.1992 00:00:00; 0,415
01.03.1992 00:00:00; 0,427
02.03.1992 00:00:00; 0,418
03.03.1992 00:00:00; 0,438
04.03.1992 00:00:00; 0,451
05.03.1992 00:00:00; 0,448
06.03.1992 00:00:00; 0,448
07.03.1992 00:00:00; 0,465
08.03.1992 00:00:00; 0,495
09.03.1992 00:00:00; 0,498
10.03.1992 00:00:00; 0,473
11.03.1992 00:00:00; 0,502
12.03.1992 00:00:00; 0,515
13.03.1992 00:00:00; 0,550
14.03.1992 00:00:00; 0,544
15.03.1992 00:00:00; 0,495
16.03.1992 00:00:00; 0,496
17.03.1992 00:00:00; 0,470
18.03.1992 00:00:00; 0,463
19.03.1992 00:00:00; 0,476
20.03.1992 00:00:00; 0,495
21.03.1992 00:00:00; 0,478
22.03.1992 00:00:00; 0,477
23.03.1992 00:00:00; 0,505
24.03.1992 00:00:00; 0,503
25.03.1992 00:00:00; 0,537
26.03.1992 00:00:00; 0,487
27.03.1992 00:00:00; 0,474
28.03.1992 00:00:00; 0,476
29.03.1992 00:00:00; 0,481
30.03.1992 00:00:00; 0,469
31.03.1992 00:00:00; 0,477
01.04.1992 00:00:00; 0,481
02.04.1992 00:00:00; 0,497
03.04.1992 00:00:00; 0,528
04.04.1992 00:00:00; 0,536
05.04.1992 00:00:00; 0,606
06.04.1992 00:00:00; 0,586
07.04.1992 00:00:00; 0,586
08.04.1992 00:00:00; 0,619
09.04.1992 00:00:00; 0,643
10.04.1992 00:00:00; 0,658
11.04.1992 00:00:00; 0,665
12.04.1992 00:00:00; 0,660
13.04.1992 00:00:00; 0,760
14.04.1992 00:00:00; 0,669
15.04.1992 00:00:00; 0,694
16.04.1992 00:00:00; 0,669
17.04.1992 00:00:00; 0,627
18.04.1992 00:00:00; 0,587
19.04.1992 00:00:00; 0,620
20.04.1992 00:00:00; 0,657
21.04.1992 00:00:00; 0,649
22.04.1992 00:00:00; 0,654
23.04.1992 00:00:00; 0,700
24.04.1992 00:00:00; 0,800
25.04.1992 00:00:00; 0,990
26.04.1992 00:00:00;  1,20
27.04.1992 00:00:00;  1,34
28.04.1992 00:00:00;  1,37
29.04.1992 00:00:00;  1,61
30.04.1992 00:00:00;  1,40
01.05.1992 00:00:00;  1,38
02.05.1992 00:00:00;  1,43
03.05.1992 00:00:00;  1,42
04.05.1992 00:00:00;  1,63
05.05.1992 00:00:00;  1,69
06.05.1992 00:00:00;  1,69
07.05.1992 00:00:00;  1,81
08.05.1992 00:00:00;  2,06
