Messstelle:                ;Lienz-Falkensteinsteg
HZB-Nummer:                ;231092
HD-Nummer:                 ;
DBMS-Nummer:               ;7001168
Gewässer:                  ;Drau
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Tiroler Wasserkraftwerke-AG.
orogr.Einzugsgebiet [km²]: ;668
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   25.07.1988              ;679,87
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
  gültig seit:             ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
   01.01.1991              ;12 45 37                 ;46 49 06
Exportzeitreihe:           ;(7001168,Abfluss,I,Mit,T,1,F,Z,0,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1991 00:15,01.01.2018 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.01.1991 00:15:00;  7,19
02.01.1991 00:00:00;  6,88
03.01.1991 00:00:00;  7,11
04.01.1991 00:00:00;  7,08
05.01.1991 00:00:00;  7,10
06.01.1991 00:00:00;  6,75
07.01.1991 00:00:00;  6,82
08.01.1991 00:00:00;  7,07
09.01.1991 00:00:00;  6,83
10.01.1991 00:00:00;  6,70
11.01.1991 00:00:00;  6,91
12.01.1991 00:00:00;  6,89
13.01.1991 00:00:00;  6,39
14.01.1991 00:00:00;  6,99
15.01.1991 00:00:00;  6,67
16.01.1991 00:00:00;  5,91
17.01.1991 00:00:00;  5,56
18.01.1991 00:00:00;  5,24
19.01.1991 00:00:00;  5,77
20.01.1991 00:00:00;  5,20
21.01.1991 00:00:00;  5,38
22.01.1991 00:00:00;  5,60
23.01.1991 00:00:00;  5,17
24.01.1991 00:00:00;  5,37
25.01.1991 00:00:00;  5,88
26.01.1991 00:00:00;  5,25
27.01.1991 00:00:00;  5,66
28.01.1991 00:00:00;  5,11
29.01.1991 00:00:00;  5,58
30.01.1991 00:00:00;  5,66
31.01.1991 00:00:00;  5,63
01.02.1991 00:00:00;  5,61
02.02.1991 00:00:00;  5,30
03.02.1991 00:00:00;  5,08
04.02.1991 00:00:00;  6,05
05.02.1991 00:00:00;  5,56
06.02.1991 00:00:00;  5,49
07.02.1991 00:00:00;  5,93
08.02.1991 00:00:00;  6,07
09.02.1991 00:00:00;  5,81
10.02.1991 00:00:00;  5,40
11.02.1991 00:00:00;  5,76
12.02.1991 00:00:00;  5,55
13.02.1991 00:00:00;  5,74
14.02.1991 00:00:00;  5,23
15.02.1991 00:00:00;  5,89
16.02.1991 00:00:00;  5,85
17.02.1991 00:00:00;  5,80
18.02.1991 00:00:00;  5,52
19.02.1991 00:00:00;  5,61
20.02.1991 00:00:00;  5,68
21.02.1991 00:00:00;  5,59
22.02.1991 00:00:00;  5,76
23.02.1991 00:00:00;  5,99
24.02.1991 00:00:00;  5,45
25.02.1991 00:00:00;  6,01
26.02.1991 00:00:00;  6,76
27.02.1991 00:00:00;  6,67
28.02.1991 00:00:00;  6,64
01.03.1991 00:00:00;  6,69
02.03.1991 00:00:00;  6,70
03.03.1991 00:00:00;  5,97
04.03.1991 00:00:00;  7,49
05.03.1991 00:00:00;  7,47
06.03.1991 00:00:00;  8,57
07.03.1991 00:00:00;  9,09
08.03.1991 00:00:00;  10,7
09.03.1991 00:00:00;  11,3
10.03.1991 00:00:00;  10,5
11.03.1991 00:00:00;  11,2
12.03.1991 00:00:00;  10,8
13.03.1991 00:00:00;  11,1
14.03.1991 00:00:00;  11,3
15.03.1991 00:00:00;  11,4
16.03.1991 00:00:00;  11,2
17.03.1991 00:00:00;  11,1
18.03.1991 00:00:00;  11,4
19.03.1991 00:00:00;  11,8
20.03.1991 00:00:00;  11,7
21.03.1991 00:00:00;  12,7
22.03.1991 00:00:00;  13,6
23.03.1991 00:00:00;  14,6
24.03.1991 00:00:00;  14,1
25.03.1991 00:00:00;  15,2
26.03.1991 00:00:00;  18,0
27.03.1991 00:00:00;  15,8
28.03.1991 00:00:00;  15,3
29.03.1991 00:00:00;  13,3
30.03.1991 00:00:00;  13,3
