Messstelle:                ;Gerlos
HZB-Nummer:                ;102681
HD-Nummer:                 ;HD7000138
DBMS-Nummer:               ;7000138
Sachgebiet:                ;NLV
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhe:
 gültig seit:              ;Höhe [m ü.A.]:
  01.11.1896               ;1240
  23.11.1954               ;1280
  15.09.1983               ;1260
  18.10.1984               ;1240
  28.06.1986               ;1250
  03.06.2014               ;1263
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.11.1896               ;12 02 00                 ;47 13 00
  23.11.1954               ;12 02 00                 ;47 13 35
  15.09.1983               ;12 02 58                 ;47 13 41
  18.10.1984               ;12 02 17                 ;47 13 36
  28.06.1986               ;12 02 40                 ;47 13 37
  03.06.2014               ;12 01 48                 ;47 13 28
Exportzeitreihe:           ;Schneehöhe,I,,T,1,O,Z,0,,,
Exportqualität:            ;MAXQUAL (2)
Exportzeitraum:            ;01.09.1970 07:00; bis ;01.09.2015 07:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Hinweis:                   ;Messwert=0.001 - Messwert kleiner als 0.5cm
Werteformat:               ;0 Nachkommastellen
Einheit:                   ;cm
Werte:
01.09.1970 07:00:00   ;     0
02.09.1970 07:00:00   ;     0
03.09.1970 07:00:00   ;     0
04.09.1970 07:00:00   ;     0
05.09.1970 07:00:00   ;     0
06.09.1970 07:00:00   ;     0
07.09.1970 07:00:00   ;     0
08.09.1970 07:00:00   ;     0
09.09.1970 07:00:00   ;     0
10.09.1970 07:00:00   ;     0
11.09.1970 07:00:00   ;     0
12.09.1970 07:00:00   ;     0
13.09.1970 07:00:00   ;     0
14.09.1970 07:00:00   ;     0
15.09.1970 07:00:00   ;     0
16.09.1970 07:00:00   ;     0
17.09.1970 07:00:00   ;     0
18.09.1970 07:00:00   ;     0
19.09.1970 07:00:00   ;     0
20.09.1970 07:00:00   ;     0
21.09.1970 07:00:00   ;     0
22.09.1970 07:00:00   ;     0
23.09.1970 07:00:00   ;     0
24.09.1970 07:00:00   ;     0
25.09.1970 07:00:00   ;     0
26.09.1970 07:00:00   ;     0
27.09.1970 07:00:00   ;     0
28.09.1970 07:00:00   ;     0
29.09.1970 07:00:00   ;     0
30.09.1970 07:00:00   ;     0
01.10.1970 07:00:00   ;     0
02.10.1970 07:00:00   ;     0
03.10.1970 07:00:00   ;     0
04.10.1970 07:00:00   ;     0
05.10.1970 07:00:00   ;     0
06.10.1970 07:00:00   ;     0
07.10.1970 07:00:00   ;     0
08.10.1970 07:00:00   ;     0
09.10.1970 07:00:00   ;     0
10.10.1970 07:00:00   ;     0
11.10.1970 07:00:00   ;     0
12.10.1970 07:00:00   ;     0
13.10.1970 07:00:00   ;     0
14.10.1970 07:00:00   ;     0
15.10.1970 07:00:00   ;     0
16.10.1970 07:00:00   ;     0
17.10.1970 07:00:00   ;     0
18.10.1970 07:00:00   ;     0
19.10.1970 07:00:00   ;     0
20.10.1970 07:00:00   ;     0
21.10.1970 07:00:00   ;    33
22.10.1970 07:00:00   ;    20
23.10.1970 07:00:00   ;    40
24.10.1970 07:00:00   ;    80
25.10.1970 07:00:00   ;    60
26.10.1970 07:00:00   ;    50
27.10.1970 07:00:00   ;    45
28.10.1970 07:00:00   ;    40
29.10.1970 07:00:00   ;    30
30.10.1970 07:00:00   ;    30
31.10.1970 07:00:00   ;     0
01.11.1970 07:00:00   ;     0
02.11.1970 07:00:00   ;     0
03.11.1970 07:00:00   ;     0
04.11.1970 07:00:00   ;     0
05.11.1970 07:00:00   ;     0
06.11.1970 07:00:00   ;     0
07.11.1970 07:00:00   ;     0
08.11.1970 07:00:00   ;     0
09.11.1970 07:00:00   ;     0
10.11.1970 07:00:00   ;     0
11.11.1970 07:00:00   ;     0
12.11.1970 07:00:00   ;     0
13.11.1970 07:00:00   ;     0
14.11.1970 07:00:00   ;     0
15.11.1970 07:00:00   ;     0
16.11.1970 07:00:00   ;    35
17.11.1970 07:00:00   ;    35
18.11.1970 07:00:00   ;    20
19.11.1970 07:00:00   ;    10
20.11.1970 07:00:00   ;     0
21.11.1970 07:00:00   ;     0
22.11.1970 07:00:00   ;    23
23.11.1970 07:00:00   ;    25
24.11.1970 07:00:00   ;    25
25.11.1970 07:00:00   ;    20
26.11.1970 07:00:00   ;    18
27.11.1970 07:00:00   ;    15
28.11.1970 07:00:00   ;    15
29.11.1970 07:00:00   ;    15
30.11.1970 07:00:00   ;    14
01.12.1970 07:00:00   ;    10
02.12.1970 07:00:00   ;     5
03.12.1970 07:00:00   ;     5
04.12.1970 07:00:00   ;    10
05.12.1970 07:00:00   ;     3
06.12.1970 07:00:00   ;     5
07.12.1970 07:00:00   ;     5
08.12.1970 07:00:00   ;    18
09.12.1970 07:00:00   ;    10
10.12.1970 07:00:00   ;    10
11.12.1970 07:00:00   ;    10
12.12.1970 07:00:00   ;    10
13.12.1970 07:00:00   ;    10
14.12.1970 07:00:00   ;    10
15.12.1970 07:00:00   ;    10
16.12.1970 07:00:00   ;    20
17.12.1970 07:00:00   ;    20
18.12.1970 07:00:00   ;    20
19.12.1970 07:00:00   ;    20
20.12.1970 07:00:00   ;    20
21.12.1970 07:00:00   ;    20
22.12.1970 07:00:00   ;    32
23.12.1970 07:00:00   ;    32
24.12.1970 07:00:00   ;    30
25.12.1970 07:00:00   ;    30
26.12.1970 07:00:00   ;    30
27.12.1970 07:00:00   ;    20
28.12.1970 07:00:00   ;    20
29.12.1970 07:00:00   ;    20
30.12.1970 07:00:00   ;    18
31.12.1970 07:00:00   ;    20
01.01.1971 07:00:00   ;    32
02.01.1971 07:00:00   ;    30
03.01.1971 07:00:00   ;    30
04.01.1971 07:00:00   ;    30
05.01.1971 07:00:00   ;    30
06.01.1971 07:00:00   ;    30
07.01.1971 07:00:00   ;    30
08.01.1971 07:00:00   ;    25
09.01.1971 07:00:00   ;    20
10.01.1971 07:00:00   ;    20
11.01.1971 07:00:00   ;    20
12.01.1971 07:00:00   ;    15
13.01.1971 07:00:00   ;    15
14.01.1971 07:00:00   ;    15
15.01.1971 07:00:00   ;    15
16.01.1971 07:00:00   ;    15
17.01.1971 07:00:00   ;    15
18.01.1971 07:00:00   ;    15
19.01.1971 07:00:00   ;    14
20.01.1971 07:00:00   ;    14
21.01.1971 07:00:00   ;    14
22.01.1971 07:00:00   ;    14
23.01.1971 07:00:00   ;    24
24.01.1971 07:00:00   ;    24
25.01.1971 07:00:00   ;    20
26.01.1971 07:00:00   ;    20
27.01.1971 07:00:00   ;    20
28.01.1971 07:00:00   ;    22
29.01.1971 07:00:00   ;    20
30.01.1971 07:00:00   ;    20
31.01.1971 07:00:00   ;    20
01.02.1971 07:00:00   ;    20
02.02.1971 07:00:00   ;    38
03.02.1971 07:00:00   ;    34
04.02.1971 07:00:00   ;    60
05.02.1971 07:00:00   ;    58
06.02.1971 07:00:00   ;    50
07.02.1971 07:00:00   ;    50
08.02.1971 07:00:00   ;    45
09.02.1971 07:00:00   ;    40
10.02.1971 07:00:00   ;    35
11.02.1971 07:00:00   ;    35
12.02.1971 07:00:00   ;    35
13.02.1971 07:00:00   ;    35
14.02.1971 07:00:00   ;    35
15.02.1971 07:00:00   ;    41
16.02.1971 07:00:00   ;    40
17.02.1971 07:00:00   ;    53
18.02.1971 07:00:00   ;    50
19.02.1971 07:00:00   ;    50
20.02.1971 07:00:00   ;    55
21.02.1971 07:00:00   ;    45
22.02.1971 07:00:00   ;    40
23.02.1971 07:00:00   ;    60
24.02.1971 07:00:00   ;    75
25.02.1971 07:00:00   ;    75
26.02.1971 07:00:00   ;    80
27.02.1971 07:00:00   ;    85
28.02.1971 07:00:00   ;    77
01.03.1971 07:00:00   ;    78
02.03.1971 07:00:00   ;    75
03.03.1971 07:00:00   ;    75
04.03.1971 07:00:00   ;    70
05.03.1971 07:00:00   ;    75
06.03.1971 07:00:00   ;    75
07.03.1971 07:00:00   ;    70
08.03.1971 07:00:00   ;    70
09.03.1971 07:00:00   ;    70
10.03.1971 07:00:00   ;    70
11.03.1971 07:00:00   ;    73
12.03.1971 07:00:00   ;    85
13.03.1971 07:00:00   ;    80
14.03.1971 07:00:00   ;    75
15.03.1971 07:00:00   ;    65
16.03.1971 07:00:00   ;    60
17.03.1971 07:00:00   ;    55
18.03.1971 07:00:00   ;    50
19.03.1971 07:00:00   ;    45
20.03.1971 07:00:00   ;    40
21.03.1971 07:00:00   ;    40
22.03.1971 07:00:00   ;    30
23.03.1971 07:00:00   ;    40
24.03.1971 07:00:00   ;    35
25.03.1971 07:00:00   ;    30
26.03.1971 07:00:00   ;    35
27.03.1971 07:00:00   ;    50
28.03.1971 07:00:00   ;    40
29.03.1971 07:00:00   ;    35
30.03.1971 07:00:00   ;    30
31.03.1971 07:00:00   ;    30
01.04.1971 07:00:00   ;    25
02.04.1971 07:00:00   ;    20
03.04.1971 07:00:00   ;    10
04.04.1971 07:00:00   ;     5
05.04.1971 07:00:00   ;     0
06.04.1971 07:00:00   ;     0
07.04.1971 07:00:00   ;     0
08.04.1971 07:00:00   ;     0
09.04.1971 07:00:00   ;     0
10.04.1971 07:00:00   ;     0
11.04.1971 07:00:00   ;     0
12.04.1971 07:00:00   ;     0
13.04.1971 07:00:00   ;     0
14.04.1971 07:00:00   ;     0
15.04.1971 07:00:00   ;     0
16.04.1971 07:00:00   ;     0
17.04.1971 07:00:00   ;     0
18.04.1971 07:00:00   ;     0
19.04.1971 07:00:00   ;     0
20.04.1971 07:00:00   ;     0
21.04.1971 07:00:00   ;     0
22.04.1971 07:00:00   ;     0
23.04.1971 07:00:00   ;     0
24.04.1971 07:00:00   ;     0
25.04.1971 07:00:00   ;     0
26.04.1971 07:00:00   ;     0
27.04.1971 07:00:00   ;     0
