Messstelle:                ;Brühl
HZB-Nummer:                ;212092
HD-Nummer:                 ;
DBMS-Nummer:               ;7001133
Gewässer:                  ;Isel
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;518,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1895              ;920,84
   01.01.1940              ;919,83
   01.01.1980              ;919,88
   01.01.2001              ;919,58
   13.05.2009              ;919,58
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
  gültig seit:             ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
   01.01.1895              ;12 33 06                 ;46 58 28
   13.05.2009              ;12 33 02                 ;46 58 33
Exportzeitreihe:           ;(7001133,Abfluss,I,Mit,T,1,F,Z,0,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1951 00:00,01.01.2018 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.01.1951 00:00:00;  4,02
02.01.1951 00:00:00;  4,50
03.01.1951 00:00:00;  4,50
04.01.1951 00:00:00;  4,02
05.01.1951 00:00:00;  4,26
06.01.1951 00:00:00;  4,02
07.01.1951 00:00:00;  4,02
08.01.1951 00:00:00;  4,02
09.01.1951 00:00:00;  3,78
10.01.1951 00:00:00;  3,54
11.01.1951 00:00:00;  3,54
12.01.1951 00:00:00;  3,54
13.01.1951 00:00:00;  4,26
14.01.1951 00:00:00;  4,02
15.01.1951 00:00:00;  3,54
16.01.1951 00:00:00;  3,54
17.01.1951 00:00:00;  3,54
18.01.1951 00:00:00;  4,26
19.01.1951 00:00:00;  4,86
20.01.1951 00:00:00;  4,26
21.01.1951 00:00:00;  4,26
22.01.1951 00:00:00;  3,30
23.01.1951 00:00:00;  3,30
24.01.1951 00:00:00;  3,78
25.01.1951 00:00:00;  4,26
26.01.1951 00:00:00;  4,50
27.01.1951 00:00:00;  4,50
