Messstelle:                ;Hopfgarten i. Def.-Zwenewald
HZB-Nummer:                ;212100
HD-Nummer:                 ;
DBMS-Nummer:               ;7001134
Gewässer:                  ;Schwarzach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;268,6
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1895              ;1091,87
   01.01.1969              ;1092,00
   01.01.1976              ;1092,26
   01.01.1982              ;1092,36
   01.01.1984              ;1096,27
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
  gültig seit:             ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
   01.01.1895              ;12 30 48                 ;46 55 05
   01.01.1984              ;12 30 44                 ;46 55 05
Exportzeitreihe:           ;(7001134,Abfluss,I,Mit,T,1,F,Z,0,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1951 00:00,01.01.2018 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.01.1951 00:00:00;  1,27
02.01.1951 00:00:00;  1,27
03.01.1951 00:00:00;  1,27
04.01.1951 00:00:00;  1,27
05.01.1951 00:00:00;  1,27
06.01.1951 00:00:00;  1,27
07.01.1951 00:00:00;  1,19
08.01.1951 00:00:00;  1,11
09.01.1951 00:00:00;  1,35
10.01.1951 00:00:00;  1,35
11.01.1951 00:00:00;  1,35
12.01.1951 00:00:00;  1,35
13.01.1951 00:00:00;  1,35
14.01.1951 00:00:00;  1,35
15.01.1951 00:00:00;  1,27
16.01.1951 00:00:00;  1,35
17.01.1951 00:00:00;  1,35
18.01.1951 00:00:00;  1,35
19.01.1951 00:00:00; 0,950
20.01.1951 00:00:00; 0,950
21.01.1951 00:00:00; 0,900
22.01.1951 00:00:00; 0,900
23.01.1951 00:00:00; 0,900
24.01.1951 00:00:00; 0,900
25.01.1951 00:00:00; 0,900
26.01.1951 00:00:00; 0,900
27.01.1951 00:00:00; 0,900
28.01.1951 00:00:00; 0,850
29.01.1951 00:00:00; 0,850
30.01.1951 00:00:00; 0,850
31.01.1951 00:00:00; 0,850
01.02.1951 00:00:00; 0,900
02.02.1951 00:00:00; 0,900
03.02.1951 00:00:00; 0,900
04.02.1951 00:00:00; 0,900
05.02.1951 00:00:00; 0,900
06.02.1951 00:00:00; 0,900
07.02.1951 00:00:00; 0,900
08.02.1951 00:00:00; 0,900
09.02.1951 00:00:00; 0,900
10.02.1951 00:00:00; 0,900
11.02.1951 00:00:00; 0,900
12.02.1951 00:00:00; 0,900
13.02.1951 00:00:00; 0,900
14.02.1951 00:00:00; 0,900
15.02.1951 00:00:00; 0,900
16.02.1951 00:00:00; 0,900
17.02.1951 00:00:00; 0,850
18.02.1951 00:00:00; 0,850
19.02.1951 00:00:00; 0,850
20.02.1951 00:00:00; 0,800
21.02.1951 00:00:00; 0,800
22.02.1951 00:00:00; 0,700
23.02.1951 00:00:00; 0,700
24.02.1951 00:00:00; 0,650
25.02.1951 00:00:00; 0,650
26.02.1951 00:00:00; 0,650
27.02.1951 00:00:00; 0,650
28.02.1951 00:00:00; 0,650
01.03.1951 00:00:00; 0,650
02.03.1951 00:00:00; 0,650
03.03.1951 00:00:00; 0,700
04.03.1951 00:00:00; 0,700
05.03.1951 00:00:00; 0,850
06.03.1951 00:00:00; 0,850
07.03.1951 00:00:00; 0,950
08.03.1951 00:00:00; 0,950
09.03.1951 00:00:00;  1,03
10.03.1951 00:00:00;  1,03
11.03.1951 00:00:00;  1,03
12.03.1951 00:00:00;  1,11
13.03.1951 00:00:00;  1,47
14.03.1951 00:00:00;  1,71
15.03.1951 00:00:00;  1,71
16.03.1951 00:00:00;  1,59
17.03.1951 00:00:00;  1,59
18.03.1951 00:00:00;  1,71
19.03.1951 00:00:00;  1,83
20.03.1951 00:00:00;  1,95
21.03.1951 00:00:00;  1,95
22.03.1951 00:00:00;  1,83
23.03.1951 00:00:00;  1,83
24.03.1951 00:00:00;  1,83
25.03.1951 00:00:00;  1,83
26.03.1951 00:00:00;  1,83
27.03.1951 00:00:00;  1,71
28.03.1951 00:00:00;  1,71
29.03.1951 00:00:00;  1,71
