Messstelle:                ;Lienz
HZB-Nummer:                ;212167
HD-Nummer:                 ;
DBMS-Nummer:               ;7001140
Gewässer:                  ;Isel
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;1198,7
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1889              ;669,93
   01.03.1936              ;669,29
   16.09.1965              ;667,20
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
  gültig seit:             ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
   01.01.1889              ;12 46 12                 ;46 49 54
   16.03.1936              ;12 45 44                 ;46 49 57
   16.09.1965              ;12 46 01                 ;46 49 56
Exportzeitreihe:           ;(7001140,Abfluss,I,Mit,T,1,F,Z,0,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1951 00:00,01.01.2018 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.01.1951 00:00:00;  9,02
02.01.1951 00:00:00;  9,02
03.01.1951 00:00:00;  9,02
04.01.1951 00:00:00;  9,02
05.01.1951 00:00:00;  9,02
06.01.1951 00:00:00;  9,02
07.01.1951 00:00:00;  9,02
08.01.1951 00:00:00;  9,02
09.01.1951 00:00:00;  8,34
10.01.1951 00:00:00;  8,34
11.01.1951 00:00:00;  8,34
12.01.1951 00:00:00;  8,00
13.01.1951 00:00:00;  8,00
14.01.1951 00:00:00;  8,00
15.01.1951 00:00:00;  8,00
16.01.1951 00:00:00;  8,00
17.01.1951 00:00:00;  7,68
18.01.1951 00:00:00;  7,68
19.01.1951 00:00:00;  7,68
20.01.1951 00:00:00;  7,68
21.01.1951 00:00:00;  7,68
22.01.1951 00:00:00;  7,68
23.01.1951 00:00:00;  7,68
24.01.1951 00:00:00;  7,68
25.01.1951 00:00:00;  7,04
26.01.1951 00:00:00;  7,04
27.01.1951 00:00:00;  7,04
28.01.1951 00:00:00;  7,04
29.01.1951 00:00:00;  7,04
30.01.1951 00:00:00;  7,04
31.01.1951 00:00:00;  7,04
01.02.1951 00:00:00;  7,04
02.02.1951 00:00:00;  7,04
03.02.1951 00:00:00;  7,04
04.02.1951 00:00:00;  7,04
05.02.1951 00:00:00;  7,04
06.02.1951 00:00:00;  7,04
07.02.1951 00:00:00;  7,04
08.02.1951 00:00:00;  7,04
