Messstelle:                ;Gschößwand
HZB-Nummer:                ;103192
HD-Nummer:                 ;HD7000189
DBMS-Nummer:               ;7000189
Sachgebiet:                ;NLV
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhe:
 gültig seit:              ;Höhe [m ü.A.]:
  26.11.1979               ;1775
  08.11.1995               ;1789
  01.10.2014               ;1790
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  26.11.1979               ;11 50 01                 ;47 10 31
  08.11.1995               ;11 49 47                 ;47 10 35
  01.10.2014               ;11 49 48                 ;47 10 33
Exportzeitreihe:           ;Schneehöhe,I,,T,1,O,Z,0,,,
Exportqualität:            ;MAXQUAL (2)
Exportzeitraum:            ;01.09.1970 07:00; bis ;01.09.2015 07:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Hinweis:                   ;Messwert=0.001 - Messwert kleiner als 0.5cm
Werteformat:               ;0 Nachkommastellen
Einheit:                   ;cm
Werte:
01.09.1979 07:00:00   ;     0
02.09.1979 07:00:00   ;     0
03.09.1979 07:00:00   ;     0
04.09.1979 07:00:00   ;     0
05.09.1979 07:00:00   ;     0
06.09.1979 07:00:00   ;     0
07.09.1979 07:00:00   ;     0
08.09.1979 07:00:00   ;     0
09.09.1979 07:00:00   ;     0
10.09.1979 07:00:00   ;     0
11.09.1979 07:00:00   ;     0
12.09.1979 07:00:00   ;     0
13.09.1979 07:00:00   ;     0
14.09.1979 07:00:00   ;     0
15.09.1979 07:00:00   ;     0
16.09.1979 07:00:00   ;     0
17.09.1979 07:00:00   ;     0
18.09.1979 07:00:00   ;     0
19.09.1979 07:00:00   ;     0
20.09.1979 07:00:00   ;     0
21.09.1979 07:00:00   ;     0
22.09.1979 07:00:00   ;     0
23.09.1979 07:00:00   ;     8
24.09.1979 07:00:00   ;     6
25.09.1979 07:00:00   ;    27
26.09.1979 07:00:00   ;    20
27.09.1979 07:00:00   ;    15
28.09.1979 07:00:00   ;     0
29.09.1979 07:00:00   ;     0
30.09.1979 07:00:00   ;     0
01.10.1979 07:00:00   ;     0
02.10.1979 07:00:00   ;     0
03.10.1979 07:00:00   ;     0
04.10.1979 07:00:00   ;     0
05.10.1979 07:00:00   ;     0
06.10.1979 07:00:00   ;     0
07.10.1979 07:00:00   ;     0
08.10.1979 07:00:00   ;     0
09.10.1979 07:00:00   ;     0
10.10.1979 07:00:00   ;     0
11.10.1979 07:00:00   ;     0
12.10.1979 07:00:00   ;     0
13.10.1979 07:00:00   ;     0
14.10.1979 07:00:00   ;     0
15.10.1979 07:00:00   ;     0
16.10.1979 07:00:00   ;     0
17.10.1979 07:00:00   ;     0
18.10.1979 07:00:00   ;     0
19.10.1979 07:00:00   ;     0
20.10.1979 07:00:00   ;     0
21.10.1979 07:00:00   ;     0
22.10.1979 07:00:00   ;     0
23.10.1979 07:00:00   ;     8
24.10.1979 07:00:00   ;     4
25.10.1979 07:00:00   ;     0
26.10.1979 07:00:00   ;     0
27.10.1979 07:00:00   ;     0
28.10.1979 07:00:00   ;     0
29.10.1979 07:00:00   ;     0
30.10.1979 07:00:00   ;     5
31.10.1979 07:00:00   ;     7
01.11.1979 07:00:00   ;     2
02.11.1979 07:00:00   ;     2
03.11.1979 07:00:00   ;     5
04.11.1979 07:00:00   ;     7
05.11.1979 07:00:00   ;     5
06.11.1979 07:00:00   ;     8
07.11.1979 07:00:00   ;    29
08.11.1979 07:00:00   ;    41
09.11.1979 07:00:00   ;    38
10.11.1979 07:00:00   ;    80
11.11.1979 07:00:00   ;   110
12.11.1979 07:00:00   ;   101
13.11.1979 07:00:00   ;    95
14.11.1979 07:00:00   ;    90
15.11.1979 07:00:00   ;    85
16.11.1979 07:00:00   ;    92
17.11.1979 07:00:00   ;    95
18.11.1979 07:00:00   ;    88
19.11.1979 07:00:00   ;    93
20.11.1979 07:00:00   ;   100
21.11.1979 07:00:00   ;   101
22.11.1979 07:00:00   ;    98
23.11.1979 07:00:00   ;    90
24.11.1979 07:00:00   ;    85
