Messstelle:                ;Kleinarl
HZB-Nummer:                ;103705
HD-Nummer:                 ;HD5000031
DBMS-Nummer:               ;5000031
Sachgebiet:                ;NLV
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhe:
 gültig seit:              ;Höhe [m ü.A.]:
  01.01.1895               ;1010
  01.10.1986               ;1018
  19.05.2010               ;990
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1895               ;13 19 13                 ;47 16 43
  01.10.1986               ;13 19 26                 ;47 16 00
  19.05.2010               ;13 18 59                 ;47 16 57
Exportzeitreihe:           ;Schneehöhe,I,,T,1,O,Z,0,,,
Exportqualität:            ;MAXQUAL (2)
Exportzeitraum:            ;01.09.1970 07:00; bis ;01.09.2015 07:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Hinweis:                   ;Messwert=0.001 - Messwert kleiner als 0.5cm
Werteformat:               ;0 Nachkommastellen
Einheit:                   ;cm
Werte:
01.09.1970 07:00:00   ;     0
02.09.1970 07:00:00   ;     0
03.09.1970 07:00:00   ;     0
04.09.1970 07:00:00   ;     0
05.09.1970 07:00:00   ;     0
06.09.1970 07:00:00   ;     0
07.09.1970 07:00:00   ;     0
08.09.1970 07:00:00   ;     0
09.09.1970 07:00:00   ;     0
10.09.1970 07:00:00   ;     0
11.09.1970 07:00:00   ;     0
12.09.1970 07:00:00   ;     0
13.09.1970 07:00:00   ;     0
14.09.1970 07:00:00   ;     0
15.09.1970 07:00:00   ;     0
16.09.1970 07:00:00   ;     0
17.09.1970 07:00:00   ;     0
18.09.1970 07:00:00   ;     0
19.09.1970 07:00:00   ;     0
20.09.1970 07:00:00   ;     0
21.09.1970 07:00:00   ;     0
22.09.1970 07:00:00   ;     0
23.09.1970 07:00:00   ;     0
24.09.1970 07:00:00   ;     0
25.09.1970 07:00:00   ;     0
26.09.1970 07:00:00   ;     0
27.09.1970 07:00:00   ;     0
28.09.1970 07:00:00   ;     0
29.09.1970 07:00:00   ;     0
30.09.1970 07:00:00   ;     0
01.10.1970 07:00:00   ;     0
02.10.1970 07:00:00   ;     0
03.10.1970 07:00:00   ;     0
04.10.1970 07:00:00   ;     0
05.10.1970 07:00:00   ;     0
06.10.1970 07:00:00   ;     0
07.10.1970 07:00:00   ;     0
08.10.1970 07:00:00   ;     0
09.10.1970 07:00:00   ;     0
10.10.1970 07:00:00   ;     0
11.10.1970 07:00:00   ;     0
12.10.1970 07:00:00   ;     0
13.10.1970 07:00:00   ;     0
14.10.1970 07:00:00   ;     0
15.10.1970 07:00:00   ;     0
16.10.1970 07:00:00   ;     0
17.10.1970 07:00:00   ;     0
18.10.1970 07:00:00   ;     0
19.10.1970 07:00:00   ;     0
20.10.1970 07:00:00   ;     0
21.10.1970 07:00:00   ;    30
22.10.1970 07:00:00   ;    28
23.10.1970 07:00:00   ;    21
24.10.1970 07:00:00   ;    24
25.10.1970 07:00:00   ;    21
26.10.1970 07:00:00   ;    18
27.10.1970 07:00:00   ;    17
28.10.1970 07:00:00   ;    15
29.10.1970 07:00:00   ;     0
30.10.1970 07:00:00   ;     0
31.10.1970 07:00:00   ;     0
01.11.1970 07:00:00   ;     0
02.11.1970 07:00:00   ;     0
03.11.1970 07:00:00   ;     0
04.11.1970 07:00:00   ;     0
05.11.1970 07:00:00   ;     0
06.11.1970 07:00:00   ;     0
07.11.1970 07:00:00   ;     0
08.11.1970 07:00:00   ;     1
09.11.1970 07:00:00   ;     1
10.11.1970 07:00:00   ;     0
11.11.1970 07:00:00   ;     0
12.11.1970 07:00:00   ;     0
13.11.1970 07:00:00   ;     0
14.11.1970 07:00:00   ;     0
15.11.1970 07:00:00   ;     0
16.11.1970 07:00:00   ;    15
17.11.1970 07:00:00   ;    14
18.11.1970 07:00:00   ;    11
19.11.1970 07:00:00   ;     9
20.11.1970 07:00:00   ;     2
21.11.1970 07:00:00   ;     0
22.11.1970 07:00:00   ;     7
23.11.1970 07:00:00   ;    20
24.11.1970 07:00:00   ;    19
25.11.1970 07:00:00   ;    17
26.11.1970 07:00:00   ;    15
27.11.1970 07:00:00   ;    14
28.11.1970 07:00:00   ;    12
29.11.1970 07:00:00   ;    10
30.11.1970 07:00:00   ;     9
01.12.1970 07:00:00   ;     1
02.12.1970 07:00:00   ;     0
03.12.1970 07:00:00   ;     0
04.12.1970 07:00:00   ;     2
05.12.1970 07:00:00   ;     2
06.12.1970 07:00:00   ;    10
07.12.1970 07:00:00   ;    10
08.12.1970 07:00:00   ;    12
09.12.1970 07:00:00   ;    10
10.12.1970 07:00:00   ;     8
11.12.1970 07:00:00   ;     7
12.12.1970 07:00:00   ;     6
13.12.1970 07:00:00   ;     5
14.12.1970 07:00:00   ;     4
15.12.1970 07:00:00   ;     6
16.12.1970 07:00:00   ;    10
17.12.1970 07:00:00   ;    10
18.12.1970 07:00:00   ;     9
19.12.1970 07:00:00   ;     8
20.12.1970 07:00:00   ;     7
21.12.1970 07:00:00   ;     7
22.12.1970 07:00:00   ;    15
23.12.1970 07:00:00   ;    16
24.12.1970 07:00:00   ;    20
25.12.1970 07:00:00   ;    18
26.12.1970 07:00:00   ;    16
27.12.1970 07:00:00   ;    15
28.12.1970 07:00:00   ;    15
29.12.1970 07:00:00   ;    14
30.12.1970 07:00:00   ;    13
31.12.1970 07:00:00   ;    12
01.01.1971 07:00:00   ;    24
02.01.1971 07:00:00   ;    23
03.01.1971 07:00:00   ;    26
04.01.1971 07:00:00   ;    25
05.01.1971 07:00:00   ;    24
06.01.1971 07:00:00   ;    23
07.01.1971 07:00:00   ;    23
08.01.1971 07:00:00   ;    22
09.01.1971 07:00:00   ;    21
10.01.1971 07:00:00   ;    20
11.01.1971 07:00:00   ;    20
12.01.1971 07:00:00   ;    19
13.01.1971 07:00:00   ;    18
14.01.1971 07:00:00   ;    18
15.01.1971 07:00:00   ;    17
16.01.1971 07:00:00   ;    17
17.01.1971 07:00:00   ;    16
18.01.1971 07:00:00   ;    16
19.01.1971 07:00:00   ;    15
20.01.1971 07:00:00   ;    15
21.01.1971 07:00:00   ;    16
22.01.1971 07:00:00   ;    16
23.01.1971 07:00:00   ;    18
24.01.1971 07:00:00   ;    17
25.01.1971 07:00:00   ;    17
26.01.1971 07:00:00   ;    16
27.01.1971 07:00:00   ;    14
28.01.1971 07:00:00   ;    14
29.01.1971 07:00:00   ;    14
30.01.1971 07:00:00   ;    13
31.01.1971 07:00:00   ;    12
01.02.1971 07:00:00   ;    12
02.02.1971 07:00:00   ;    41
03.02.1971 07:00:00   ;    42
04.02.1971 07:00:00   ;    59
05.02.1971 07:00:00   ;    57
06.02.1971 07:00:00   ;    56
07.02.1971 07:00:00   ;    56
08.02.1971 07:00:00   ;    55
09.02.1971 07:00:00   ;    54
10.02.1971 07:00:00   ;    53
11.02.1971 07:00:00   ;    53
12.02.1971 07:00:00   ;    50
13.02.1971 07:00:00   ;    48
14.02.1971 07:00:00   ;    48
15.02.1971 07:00:00   ;    49
16.02.1971 07:00:00   ;    49
17.02.1971 07:00:00   ;    57
18.02.1971 07:00:00   ;    57
19.02.1971 07:00:00   ;    60
20.02.1971 07:00:00   ;    60
21.02.1971 07:00:00   ;    61
22.02.1971 07:00:00   ;    61
23.02.1971 07:00:00   ;    63
24.02.1971 07:00:00   ;    74
25.02.1971 07:00:00   ;    75
26.02.1971 07:00:00   ;    80
