Messstelle:                ;Matrei am Brenner
HZB-Nummer:                ;102376
HD-Nummer:                 ;HD7000107
DBMS-Nummer:               ;7000107
Sachgebiet:                ;NLV
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhe:
 gültig seit:              ;Höhe [m ü.A.]:
  01.01.1886               ;990
  25.09.1969               ;990
  19.05.1980               ;970
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1886               ;11 27 05                 ;47 07 58
  25.09.1969               ;11 27 11                 ;47 07 58
  19.05.1980               ;11 27 19                 ;47 07 52
Exportzeitreihe:           ;Niederschlag,I,Sum,T,1,O,Z,0,,,
Exportqualität:            ;MAXQUAL (2)
Exportzeitraum:            ;01.01.1971 07:00; bis ;01.01.2018 07:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Hinweis:                   ;Messwert=0,001 - nicht messbarer Niederschlag
Werteformat:               ;1 Nachkommastelle
Einheit:                   ;mm
Werte:
01.01.1971 07:00:00   ;     0,0
02.01.1971 07:00:00   ;     0,0
03.01.1971 07:00:00   ;     0,0
04.01.1971 07:00:00   ;     0,0
05.01.1971 07:00:00   ;     0,0
06.01.1971 07:00:00   ;     0,0
07.01.1971 07:00:00   ;     0,0
08.01.1971 07:00:00   ;     0,0
09.01.1971 07:00:00   ;     0,0
10.01.1971 07:00:00   ;     0,0
11.01.1971 07:00:00   ;     0,0
12.01.1971 07:00:00   ;     0,0
13.01.1971 07:00:00   ;     0,0
14.01.1971 07:00:00   ;     0,0
15.01.1971 07:00:00   ;     0,0
16.01.1971 07:00:00   ;     0,0
17.01.1971 07:00:00   ;     0,0
18.01.1971 07:00:00   ;     0,0
19.01.1971 07:00:00   ;     0,0
20.01.1971 07:00:00   ;     2,6
21.01.1971 07:00:00   ;     2,7
22.01.1971 07:00:00   ;     5,0
23.01.1971 07:00:00   ;     0,0
24.01.1971 07:00:00   ;     0,0
25.01.1971 07:00:00   ;     0,0
26.01.1971 07:00:00   ;     0,0
27.01.1971 07:00:00   ;     0,0
28.01.1971 07:00:00   ;     0,0
29.01.1971 07:00:00   ;     0,0
30.01.1971 07:00:00   ;     0,0
31.01.1971 07:00:00   ;     0,2
01.02.1971 07:00:00   ;     5,2
02.02.1971 07:00:00   ;     0,0
03.02.1971 07:00:00   ;    23,5
04.02.1971 07:00:00   ;     0,6
05.02.1971 07:00:00   ;     0,0
06.02.1971 07:00:00   ;     0,0
07.02.1971 07:00:00   ;     0,0
08.02.1971 07:00:00   ;     0,0
09.02.1971 07:00:00   ;     0,0
10.02.1971 07:00:00   ;     0,0
11.02.1971 07:00:00   ;     0,0
12.02.1971 07:00:00   ;     0,0
13.02.1971 07:00:00   ;     0,0
14.02.1971 07:00:00   ;     0,3
15.02.1971 07:00:00   ;     0,0
16.02.1971 07:00:00   ;     4,5
17.02.1971 07:00:00   ;     0,0
18.02.1971 07:00:00   ;     0,0
19.02.1971 07:00:00   ;     3,2
20.02.1971 07:00:00   ;     0,0
21.02.1971 07:00:00   ;     0,3
22.02.1971 07:00:00   ;     1,0
23.02.1971 07:00:00   ;     5,4
24.02.1971 07:00:00   ;     0,0
25.02.1971 07:00:00   ;     0,0
26.02.1971 07:00:00   ;    13,2
27.02.1971 07:00:00   ;     1,4
28.02.1971 07:00:00   ;     2,5
01.03.1971 07:00:00   ;     0,0
02.03.1971 07:00:00   ;     0,0
03.03.1971 07:00:00   ;     1,2
04.03.1971 07:00:00   ;     0,0
05.03.1971 07:00:00   ;     0,0
06.03.1971 07:00:00   ;     1,0
07.03.1971 07:00:00   ;     0,0
08.03.1971 07:00:00   ;     0,0
09.03.1971 07:00:00   ;     0,0
10.03.1971 07:00:00   ;     0,0
11.03.1971 07:00:00   ;     1,6
12.03.1971 07:00:00   ;     2,2
13.03.1971 07:00:00   ;     0,0
14.03.1971 07:00:00   ;     0,0
15.03.1971 07:00:00   ;     0,5
16.03.1971 07:00:00   ;     4,5
17.03.1971 07:00:00   ;     0,0
18.03.1971 07:00:00   ;     0,0
19.03.1971 07:00:00   ;     6,5
20.03.1971 07:00:00   ;     0,0
21.03.1971 07:00:00   ;     6,0
22.03.1971 07:00:00   ;     2,0
23.03.1971 07:00:00   ;     0,0
24.03.1971 07:00:00   ;     0,0
25.03.1971 07:00:00   ;     7,2
26.03.1971 07:00:00   ;     0,3
27.03.1971 07:00:00   ;     0,5
28.03.1971 07:00:00   ;     0,0
29.03.1971 07:00:00   ;     0,0
30.03.1971 07:00:00   ;     0,0
31.03.1971 07:00:00   ;     0,0
01.04.1971 07:00:00   ;     0,0
02.04.1971 07:00:00   ;     0,0
03.04.1971 07:00:00   ;     0,0
04.04.1971 07:00:00   ;     0,3
05.04.1971 07:00:00   ;     0,0
06.04.1971 07:00:00   ;     0,0
07.04.1971 07:00:00   ;     0,0
08.04.1971 07:00:00   ;     0,0
09.04.1971 07:00:00   ;     0,0
10.04.1971 07:00:00   ;    13,0
11.04.1971 07:00:00   ;     0,0
12.04.1971 07:00:00   ;     0,0
13.04.1971 07:00:00   ;     0,0
14.04.1971 07:00:00   ;     0,0
15.04.1971 07:00:00   ;     0,0
16.04.1971 07:00:00   ;     0,0
17.04.1971 07:00:00   ;     4,7
18.04.1971 07:00:00   ;     0,0
19.04.1971 07:00:00   ;     0,0
20.04.1971 07:00:00   ;     0,0
21.04.1971 07:00:00   ;     0,0
22.04.1971 07:00:00   ;     0,0
23.04.1971 07:00:00   ;     0,0
24.04.1971 07:00:00   ;     2,2
25.04.1971 07:00:00   ;     0,0
26.04.1971 07:00:00   ;     0,0
27.04.1971 07:00:00   ;     6,0
28.04.1971 07:00:00   ;     0,0
29.04.1971 07:00:00   ;     0,0
30.04.1971 07:00:00   ;     3,2
01.05.1971 07:00:00   ;     2,5
02.05.1971 07:00:00   ;     4,3
03.05.1971 07:00:00   ;    12,6
04.05.1971 07:00:00   ;     4,4
05.05.1971 07:00:00   ;     0,0
06.05.1971 07:00:00   ;     0,0
07.05.1971 07:00:00   ;     0,0
08.05.1971 07:00:00   ;     0,0
09.05.1971 07:00:00   ;     0,0
10.05.1971 07:00:00   ;    13,0
11.05.1971 07:00:00   ;     0,0
12.05.1971 07:00:00   ;     0,0
13.05.1971 07:00:00   ;     6,5
14.05.1971 07:00:00   ;     1,8
15.05.1971 07:00:00   ;     0,0
16.05.1971 07:00:00   ;     0,0
17.05.1971 07:00:00   ;     0,0
18.05.1971 07:00:00   ;     0,0
19.05.1971 07:00:00   ;     0,0
20.05.1971 07:00:00   ;     0,0
21.05.1971 07:00:00   ;     3,0
22.05.1971 07:00:00   ;     0,0
23.05.1971 07:00:00   ;     3,0
24.05.1971 07:00:00   ;     0,0
25.05.1971 07:00:00   ;     0,0
26.05.1971 07:00:00   ;     0,0
27.05.1971 07:00:00   ;     0,5
28.05.1971 07:00:00   ;    13,0
29.05.1971 07:00:00   ;     9,0
30.05.1971 07:00:00   ;     8,6
31.05.1971 07:00:00   ;     2,8
01.06.1971 07:00:00   ;     1,3
02.06.1971 07:00:00   ;     0,0
03.06.1971 07:00:00   ;     0,0
04.06.1971 07:00:00   ;     1,2
05.06.1971 07:00:00   ;     3,0
06.06.1971 07:00:00   ;     0,0
07.06.1971 07:00:00   ;     2,8
08.06.1971 07:00:00   ;     6,2
09.06.1971 07:00:00   ;     2,5
10.06.1971 07:00:00   ;     0,0
11.06.1971 07:00:00   ;     4,0
12.06.1971 07:00:00   ;     0,0
13.06.1971 07:00:00   ;     0,0
14.06.1971 07:00:00   ;     0,0
