Messstelle:                ;Schönberg im Stubaital
HZB-Nummer:                ;102384
HD-Nummer:                 ;HD7000108
DBMS-Nummer:               ;7000108
Sachgebiet:                ;NLV
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhe:
 gültig seit:              ;Höhe [m ü.A.]:
  01.01.1895               ;1010
  11.05.1970               ;1010
  09.12.1977               ;1055
  29.10.1979               ;940
  16.02.1993               ;1005
  23.01.2009               ;1009
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1895               ;11 24 00                 ;47 11 00
  11.05.1970               ;11 24 10                 ;47 11 12
  09.12.1977               ;11 24 20                 ;47 11 00
  29.10.1979               ;11 24 44                 ;47 11 19
  16.02.1993               ;11 24 17                 ;47 11 15
  23.01.2009               ;11 24 03                 ;47 11 02
Exportzeitreihe:           ;Niederschlag,I,Sum,T,1,O,Z,0,,,
Exportqualität:            ;MAXQUAL (2)
Exportzeitraum:            ;01.01.1971 07:00; bis ;01.01.2018 07:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Hinweis:                   ;Messwert=0,001 - nicht messbarer Niederschlag
Werteformat:               ;1 Nachkommastelle
Einheit:                   ;mm
Werte:
01.01.1971 07:00:00   ;     2,2
02.01.1971 07:00:00   ;     2,0
03.01.1971 07:00:00   ;     3,0
04.01.1971 07:00:00   ;     0,0
05.01.1971 07:00:00   ;     0,0
06.01.1971 07:00:00   ;     0,0
07.01.1971 07:00:00   ;     0,0
08.01.1971 07:00:00   ;     0,0
09.01.1971 07:00:00   ;     0,0
10.01.1971 07:00:00   ;     0,0
11.01.1971 07:00:00   ;     0,0
12.01.1971 07:00:00   ;     0,0
13.01.1971 07:00:00   ;     0,0
14.01.1971 07:00:00   ;     0,0
15.01.1971 07:00:00   ;     0,0
16.01.1971 07:00:00   ;     0,0
17.01.1971 07:00:00   ;     0,0
18.01.1971 07:00:00   ;     0,0
19.01.1971 07:00:00   ;     0,0
20.01.1971 07:00:00   ;     2,0
21.01.1971 07:00:00   ;     0,0
22.01.1971 07:00:00   ;     2,0
23.01.1971 07:00:00   ;     0,0
24.01.1971 07:00:00   ;     0,0
25.01.1971 07:00:00   ;     0,0
26.01.1971 07:00:00   ;     0,0
27.01.1971 07:00:00   ;     0,0
28.01.1971 07:00:00   ;     0,0
29.01.1971 07:00:00   ;     0,0
30.01.1971 07:00:00   ;     0,0
31.01.1971 07:00:00   ;     0,0
01.02.1971 07:00:00   ;     4,8
02.02.1971 07:00:00   ;    18,7
03.02.1971 07:00:00   ;    18,7
