Messstelle:                ;Neustift i. St.-Volderau
HZB-Nummer:                ;103101
HD-Nummer:                 ;HD7000180
DBMS-Nummer:               ;7000180
Sachgebiet:                ;NLV
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhe:
 gültig seit:              ;Höhe [m ü.A.]:
  01.10.1947               ;1100
  26.09.1978               ;1110
  16.12.1987               ;1090
  31.07.2003               ;1110
  01.05.2007               ;1130
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.10.1947               ;11 14 00                 ;47 05 00
  26.09.1978               ;11 15 55                 ;47 04 51
  16.12.1987               ;11 16 10                 ;47 04 51
  31.07.2003               ;11 15 34                 ;47 04 25
  01.05.2007               ;11 15 18                 ;47 04 09
Exportzeitreihe:           ;Niederschlag,I,Sum,T,1,O,Z,0,,,
Exportqualität:            ;MAXQUAL (2)
Exportzeitraum:            ;01.01.1971 07:00; bis ;01.01.2018 07:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Hinweis:                   ;Messwert=0,001 - nicht messbarer Niederschlag
Werteformat:               ;1 Nachkommastelle
Einheit:                   ;mm
Werte:
01.01.1979 07:00:00   ;     0,0
02.01.1979 07:00:00   ;     2,0
03.01.1979 07:00:00   ;     1,0
04.01.1979 07:00:00   ;     0,0
05.01.1979 07:00:00   ;     0,0
06.01.1979 07:00:00   ;     0,0
07.01.1979 07:00:00   ;     0,0
08.01.1979 07:00:00   ;     0,0
09.01.1979 07:00:00   ;     3,6
10.01.1979 07:00:00   ;     0,8
11.01.1979 07:00:00   ;     0,9
12.01.1979 07:00:00   ;     0,7
13.01.1979 07:00:00   ;     0,0
14.01.1979 07:00:00   ;     0,0
15.01.1979 07:00:00   ;     0,0
16.01.1979 07:00:00   ;     1,6
17.01.1979 07:00:00   ;     0,0
18.01.1979 07:00:00   ;     0,0
19.01.1979 07:00:00   ;     0,0
20.01.1979 07:00:00   ;     0,0
21.01.1979 07:00:00   ;     0,0
22.01.1979 07:00:00   ;     0,0
23.01.1979 07:00:00   ;     0,0
24.01.1979 07:00:00   ;     4,9
25.01.1979 07:00:00   ;     0,0
26.01.1979 07:00:00   ;     0,0
27.01.1979 07:00:00   ;     0,0
28.01.1979 07:00:00   ;     8,9
29.01.1979 07:00:00   ;     3,8
30.01.1979 07:00:00   ;     0,0
31.01.1979 07:00:00   ;     0,0
01.02.1979 07:00:00   ;     0,0
02.02.1979 07:00:00   ;     1,3
03.02.1979 07:00:00   ;     0,0
04.02.1979 07:00:00   ;     0,0
05.02.1979 07:00:00   ;     4,5
06.02.1979 07:00:00   ;     0,0
07.02.1979 07:00:00   ;     0,0
08.02.1979 07:00:00   ;     1,1
09.02.1979 07:00:00   ;     0,0
10.02.1979 07:00:00   ;     0,0
11.02.1979 07:00:00   ;     0,0
12.02.1979 07:00:00   ;     2,3
13.02.1979 07:00:00   ;     0,0
14.02.1979 07:00:00   ;     0,0
15.02.1979 07:00:00   ;     0,0
16.02.1979 07:00:00   ;     8,4
17.02.1979 07:00:00   ;     0,2
18.02.1979 07:00:00   ;     4,0
19.02.1979 07:00:00   ;     0,0
20.02.1979 07:00:00   ;     0,0
21.02.1979 07:00:00   ;     0,0
22.02.1979 07:00:00   ;     0,3
23.02.1979 07:00:00   ;     3,4
24.02.1979 07:00:00   ;     0,0
25.02.1979 07:00:00   ;     0,0
26.02.1979 07:00:00   ;     0,0
27.02.1979 07:00:00   ;     0,0
