Messstelle:                ;Krössbach
HZB-Nummer:                ;202283
HD-Nummer:                 ;
DBMS-Nummer:               ;7001117
Gewässer:                  ;Ruetz
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;127,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   12.07.1990              ;1086,16
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
  gültig seit:             ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
   12.07.1990              ;11 16 01                 ;47 04 50
Exportzeitreihe:           ;(7001117,Abfluss,I,Mit,T,1,F,Z,0,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1991 00:00,01.01.2018 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.01.1991 00:00:00; 0,684
02.01.1991 00:00:00; 0,693
03.01.1991 00:00:00; 0,701
04.01.1991 00:00:00; 0,710
05.01.1991 00:00:00; 0,718
06.01.1991 00:00:00; 0,668
07.01.1991 00:00:00; 0,655
08.01.1991 00:00:00; 0,634
09.01.1991 00:00:00; 0,659
10.01.1991 00:00:00; 0,634
11.01.1991 00:00:00; 0,607
12.01.1991 00:00:00; 0,609
13.01.1991 00:00:00; 0,628
14.01.1991 00:00:00; 0,624
15.01.1991 00:00:00; 0,572
16.01.1991 00:00:00; 0,478
17.01.1991 00:00:00; 0,446
18.01.1991 00:00:00; 0,414
19.01.1991 00:00:00; 0,394
20.01.1991 00:00:00; 0,382
21.01.1991 00:00:00; 0,379
22.01.1991 00:00:00; 0,371
23.01.1991 00:00:00; 0,371
24.01.1991 00:00:00; 0,371
25.01.1991 00:00:00; 0,371
26.01.1991 00:00:00; 0,371
27.01.1991 00:00:00; 0,385
28.01.1991 00:00:00; 0,414
29.01.1991 00:00:00; 0,416
30.01.1991 00:00:00; 0,416
31.01.1991 00:00:00; 0,426
01.02.1991 00:00:00; 0,444
02.02.1991 00:00:00; 0,445
03.02.1991 00:00:00; 0,446
04.02.1991 00:00:00; 0,447
05.02.1991 00:00:00; 0,448
06.02.1991 00:00:00; 0,449
07.02.1991 00:00:00; 0,450
08.02.1991 00:00:00; 0,451
09.02.1991 00:00:00; 0,451
10.02.1991 00:00:00; 0,462
11.02.1991 00:00:00; 0,483
12.02.1991 00:00:00; 0,464
13.02.1991 00:00:00; 0,452
14.02.1991 00:00:00; 0,447
15.02.1991 00:00:00; 0,464
16.02.1991 00:00:00; 0,451
17.02.1991 00:00:00; 0,449
18.02.1991 00:00:00; 0,447
19.02.1991 00:00:00; 0,445
20.02.1991 00:00:00; 0,443
21.02.1991 00:00:00; 0,440
22.02.1991 00:00:00; 0,438
23.02.1991 00:00:00; 0,436
24.02.1991 00:00:00; 0,430
25.02.1991 00:00:00; 0,461
26.02.1991 00:00:00; 0,485
27.02.1991 00:00:00; 0,515
28.02.1991 00:00:00; 0,534
01.03.1991 00:00:00; 0,548
02.03.1991 00:00:00; 0,550
