Messstelle:                ;Gries
HZB-Nummer:                ;119388
HD-Nummer:                 ;7004051
DBMS-Nummer:               ;7004051
Sachgebiet:                ;NLV
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhe:
 gültig seit:              ;Höhe [m ü.A.]:
  17.06.1992               ;1570
  31.05.2001               ;1577
  14.03.2007               ;1575
  06.11.2012               ;1585
  18.07.2016               ;1590
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  17.06.1992               ;11 01 21                 ;47 04 15
  31.05.2001               ;11 01 26                 ;47 04 15
  14.03.2007               ;11 01 20                 ;47 04 15
  06.11.2012               ;11 01 27                 ;47 04 18
  18.07.2016               ;11 01 36                 ;47 04 12
Exportzeitreihe:           ;Schneehöhe,I,,T,1,O,Z,0,,,
Exportqualität:            ;MAXQUAL (2)
Exportzeitraum:            ;01.09.1970 07:00; bis ;01.09.2015 07:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Hinweis:                   ;Messwert=0.001 - Messwert kleiner als 0.5cm
Werteformat:               ;0 Nachkommastellen
Einheit:                   ;cm
Werte:
01.01.1998 07:00:00   ;    18
02.01.1998 07:00:00   ;    17
03.01.1998 07:00:00   ;    25
04.01.1998 07:00:00   ;    32
05.01.1998 07:00:00   ;    31
06.01.1998 07:00:00   ;    35
07.01.1998 07:00:00   ;    33
08.01.1998 07:00:00   ;    32
09.01.1998 07:00:00   ;    32
10.01.1998 07:00:00   ;    30
11.01.1998 07:00:00   ;    27
12.01.1998 07:00:00   ;    23
13.01.1998 07:00:00   ;    21
14.01.1998 07:00:00   ;    20
15.01.1998 07:00:00   ;    25
16.01.1998 07:00:00   ;    25
17.01.1998 07:00:00   ;    35
18.01.1998 07:00:00   ;    32
19.01.1998 07:00:00   ;    28
20.01.1998 07:00:00   ;    30
21.01.1998 07:00:00   ;    40
22.01.1998 07:00:00   ;    42
23.01.1998 07:00:00   ;    42
24.01.1998 07:00:00   ;    41
25.01.1998 07:00:00   ;    40
26.01.1998 07:00:00   ;    40
27.01.1998 07:00:00   ;    38
28.01.1998 07:00:00   ;    38
29.01.1998 07:00:00   ;    35
30.01.1998 07:00:00   ;    32
31.01.1998 07:00:00   ;    32
01.02.1998 07:00:00   ;    32
02.02.1998 07:00:00   ;    31
03.02.1998 07:00:00   ;    30
04.02.1998 07:00:00   ;    30
05.02.1998 07:00:00   ;    30
06.02.1998 07:00:00   ;    30
07.02.1998 07:00:00   ;    30
08.02.1998 07:00:00   ;    29
09.02.1998 07:00:00   ;    29
10.02.1998 07:00:00   ;    29
11.02.1998 07:00:00   ;    29
12.02.1998 07:00:00   ;    28
13.02.1998 07:00:00   ;    28
14.02.1998 07:00:00   ;    28
15.02.1998 07:00:00   ;    28
16.02.1998 07:00:00   ;    27
17.02.1998 07:00:00   ;    27
18.02.1998 07:00:00   ;    27
19.02.1998 07:00:00   ;    27
20.02.1998 07:00:00   ;    26
21.02.1998 07:00:00   ;    25
22.02.1998 07:00:00   ;    25
23.02.1998 07:00:00   ;    32
24.02.1998 07:00:00   ;    27
25.02.1998 07:00:00   ;    29
26.02.1998 07:00:00   ;    25
27.02.1998 07:00:00   ;    23
28.02.1998 07:00:00   ;    20
01.03.1998 07:00:00   ;    19
02.03.1998 07:00:00   ;    18
03.03.1998 07:00:00   ;    18
04.03.1998 07:00:00   ;    16
05.03.1998 07:00:00   ;    15
06.03.1998 07:00:00   ;    15
07.03.1998 07:00:00   ;    14
08.03.1998 07:00:00   ;    12
09.03.1998 07:00:00   ;    18
10.03.1998 07:00:00   ;    18
11.03.1998 07:00:00   ;    15
12.03.1998 07:00:00   ;    12
13.03.1998 07:00:00   ;    15
14.03.1998 07:00:00   ;    15
15.03.1998 07:00:00   ;    17
16.03.1998 07:00:00   ;    27
17.03.1998 07:00:00   ;    25
18.03.1998 07:00:00   ;    20
19.03.1998 07:00:00   ;    17
20.03.1998 07:00:00   ;    15
21.03.1998 07:00:00   ;    25
22.03.1998 07:00:00   ;    20
23.03.1998 07:00:00   ;    22
24.03.1998 07:00:00   ;    25
25.03.1998 07:00:00   ;    20
26.03.1998 07:00:00   ;    20
27.03.1998 07:00:00   ;    17
28.03.1998 07:00:00   ;    10
29.03.1998 07:00:00   ;     5
30.03.1998 07:00:00   ;     5
31.03.1998 07:00:00   ;     0
