Date,Innsbruck-Reichenau,Krössbach,Puig,Obernberg am Brenner,Trins,Matrei am Brenner,Schönberg im Stubaital,Telfes im Stubai,Innerschmirn-Obern,Dresdner Hütte,Neustift i. St.-Volderau,470113_t_MAX,470113_t_MIN,470116_t_MAX,470116_t_MIN,473113_t_MAX,473113_t_MIN,473116_t_MAX,473116_t_MIN,470113_s,470116_s,473113_s,473116_s,470113_r,470116_r,473113_r,473116_r,470113_w,470116_w,473113_w,473116_w
1996-01-01,7.59,0.617,3.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.713,-11.345,-1.842,-14.027,-0.869,-11.029,-1.121,-13.734,2.65,2.752,2.226,2.261,0.976,0.977,0.986,0.985,2.451,2.774,1.36,1.484
1996-01-02,7.3,0.584,3.19,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,-1.149,-8.886,-1.559,-13.482,-0.954,-12.779,-1.231,-15.768,5.374,4.204,4.587,3.682,0.958,0.958,0.968,0.96,2.623,2.633,1.751,1.61
1996-01-03,7.2,0.598,3.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.422,-8.001,-4.222,-8.431,-3.802,-6.855,-3.562,-7.148,3.013,3.323,2.023,2.251,0.972,0.975,0.983,0.983,3.67,3.906,1.968,1.992
1996-01-04,7.04,0.552,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.799,-13.771,-2.512,-18.726,-1.721,-19.11,-2.533,-21.393,6.826,6.858,6.54,6.502,0.847,0.853,0.865,0.857,2.334,2.255,1.525,1.309
1996-01-05,6.71,0.497,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.886,-13.466,-1.58,-17.378,0.426,-12.521,0.223,-17.466,6.47,6.559,5.94,6.053,0.853,0.83,0.868,0.812,2.83,2.91,3.037,3.141
1996-01-06,7.07,0.541,3.02,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.607,-9.433,-2.881,-10.247,-0.086,-7.54,-0.058,-8.025,3.433,3.508,3.474,3.89,0.964,0.962,0.964,0.958,5.737,6.029,5.857,6.333
1996-01-07,7.27,0.602,3.07,2.6,3.1,3.5,1.1,3.6,5.1,3.5,3.1,-0.547,-4.746,-0.56,-4.793,0.647,-2.844,0.777,-2.809,3.189,2.835,4.74,4.893,0.976,0.974,0.977,0.972,4.8,4.972,4.954,5.274
1996-01-08,8.04,0.609,3.16,1.1,2.4,2.7,4.4,1.0,2.0,0.0,1.0,-0.544,-13.439,-0.353,-12.659,0.085,-2.738,0.214,-3.693,2.066,2.205,1.595,1.656,0.974,0.977,0.991,0.991,2.241,2.397,1.928,2.011
1996-01-09,8.0,0.584,3.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.379,-3.507,0.277,-3.705,0.769,-2.254,0.861,-2.221,5.929,6.115,5.326,5.803,0.958,0.957,0.973,0.968,5.122,5.325,5.722,6.122
1996-01-10,8.02,0.587,3.1,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.612,-4.649,-0.448,-4.864,0.771,-2.78,0.845,-2.843,3.601,3.081,5.201,5.032,0.97,0.969,0.971,0.966,6.019,6.228,6.548,6.911
